DateTime,AddedIPs,RemovedIPs
1648775066,5,3
1648776026,7,0
1648776742,8,1
1648777462,9,5
1648778427,5,6
1648779141,2,4
1648779866,7,4
1648780583,4,6
1648781302,2,12
1648782023,3,8
1648782742,1,3
1648783463,1,3
1648784183,8,5
1648784902,2,2
1648785623,1,1
1648786345,0,3
1648787064,5,1
1648787784,1,5
1648788505,3,4
1648789231,1,3
1648790184,1,6
1648790902,2,0
1648791626,2,0
1648792351,3,1
1648793065,3,156
1648793782,1,3
1648794505,2,0
1648795222,2,0
1648795947,1,2
1648796671,3,3
1648797384,1,0
1648798103,1,2
1648798822,1,3
1648799546,2,3
1648800268,1,4
1648800985,4,3
1648801702,2,0
1648802424,2,0
1648803147,4,1
1648803865,4,0
1648804582,2,0
1648805302,2,3
1648806023,3,1
1648806744,1,3
1648807464,3,3
1648808186,1,0
1648808907,4,1
1648809871,2,1
1648810585,1,0
1648811303,1,1
1648812027,0,1
1648812744,2,2
1648813466,1,2
1648814206,1,0
1648814904,3,0
1648815623,1,0
1648817064,3,3
1648817785,0,3
1648818507,3,0
1648819226,0,4
1648819945,2,0
1648820663,1,2
1648821382,2,2
1648822104,0,1
1648823065,2,4
1648823817,2,0
1648824510,1,1
1648825942,2,1
1648826664,1,3
1648827386,0,1
1648828104,0,1
1648829545,2,3
1648830267,2,5
1648830983,4,1
1648832666,2,4
1648833381,1,3
1648834108,4,2
1648834821,5,3
1648836262,3,2
1648836983,2,0
1648837705,2,0
1648838422,5,0
1648839146,3,3
1648839863,0,4
1648840581,3,1
1648841304,5,5
1648842026,1,4
1648842750,0,1
1648844186,0,6
1648844906,4,1
1648846344,0,1
1648847064,1,0
1648847784,1,2
1648848501,3,3
1648849227,1,4
1648850666,1,2
1648851403,0,2
1648852347,1,1
1648853062,2,0
1648853789,1,3
1648854501,1,1
1648855221,2,1
1648855942,3,0
1648856664,1,2
1648857383,1,3
1648858106,1,2
1648858822,6,2
1648859554,2,3
1648860266,3,3
1648860982,1,2
1648861701,2,4
1648862422,2,3
1648863143,9,4
1648863862,6,4
1648864584,4,2
1648865303,2,3
1648866264,5,7
1648866985,3,3
1648867702,6,12
1648868425,2,6
1648869146,1,6
1648869867,3,5
1648870584,5,4
1648871312,6,1
1648872022,6,0
1648872743,6,4
1648873467,1,2
1648874183,1,1
1648874903,2,3
1648875622,4,3
1648876341,2,1
1648877062,2,0
1648878503,4,2
1648879230,1,1
1648879946,3,0
1648880669,0,1
1648881386,3,0
1648882101,0,1
1648882823,2,0
1648883786,2,0
1648884507,1,1
1648885223,5,0
1648885946,2,3
1648886665,1,1
1648887382,3,2
1648888105,2,1
1648888827,3,2
1648889546,2,2
1648890268,6,0
1648890982,0,1
1648891703,3,2
1648893144,2,0
1648893862,4,0
1648894913,4,5
1648895544,2,0
1648896264,2,0
1648896986,1,0
1648897704,1,0
1648898429,2,3
1648899141,2,0
1648899862,5,1
1648900586,2,4
1648901303,3,0
1648902029,1,2
1648902742,1,0
1648903464,1,2
1648904182,3,3
1648904903,0,2
1648905622,0,1
1648906342,4,1
1648907064,0,1
1648907788,0,4
1648909223,3,2
1648909942,1,1
1648910662,1,1
1648911384,2,4
1648912349,3,3
1648913011,3,0
1648913785,0,3
1648914505,2,2
1648915236,6,2
1648915946,1,5
1648916666,1,1
1648917384,1,0
1648918104,1,3
1648918831,2,0
1648919546,1,2
1648920268,1,5
1648920983,7,0
1648921707,2,0
1648922430,0,2
1648923142,2,3
1648924116,3,4
1648924822,0,2
1648925546,2,2
1648926263,1,0
1648926983,3,3
1648927949,2,1
1648928663,1,2
1648929387,2,1
1648930102,0,1
1648930823,1,2
1648931542,3,1
1648932262,5,1
1648932985,2,3
1648933943,1,3
1648934663,1,1
1648935384,1,4
1648936103,2,1
1648936824,1,1
1648937545,4,1
1648938265,1,0
1648938983,1,2
1648939706,0,1
1648940423,1,3
1648941147,4,1
1648941865,2,2
1648942587,1,2
1648943303,4,1
1648944027,2,3
1648944746,3,1
1648945466,3,0
1648946186,2,4
1648946906,3,1
1648947626,4,4
1648948345,2,9
1648949065,6,4
1648949786,7,7
1648950503,4,11
1648951287,6,7
1648951943,5,4
1648952663,2,3
1648953626,2,3
1648954346,2,3
1648955071,6,7
1648955781,2,0
1648956505,3,3
1648957226,2,7
1648957947,4,5
1648958666,2,0
1648959382,3,2
1648960102,3,3
1648960824,1,1
1648961547,3,0
1648962987,2,0
1648963706,2,0
1648964421,1,2
1648965142,1,2
1648965863,1,2
1648966582,0,1
1648967306,3,2
1648968022,1,0
1648968746,1,1
1648969469,0,2
1648970182,2,0
1648971145,3,0
1648971865,0,2
1648972588,1,0
1648973302,5,0
1648974022,3,2
1648974741,2,1
1648975462,2,1
1648976182,2,2
1648976904,2,0
1648977622,1,2
1648978347,4,0
1648979062,0,1
1648979784,1,3
1648980742,2,1
1648981463,0,2
1648982189,2,4
1648982902,5,0
1648983630,0,2
1648984341,1,2
1648985065,3,4
1648985786,3,2
1648986503,1,0
1648987223,1,2
1648987942,2,0
1648988663,4,1
1648989381,1,1
1648990109,0,4
1648990832,2,1
1648991619,2,1
1648992265,3,0
1648992982,0,4
1648994430,1,3
1648995146,6,0
1648995865,0,1
1648996583,1,1
1648997302,3,1
1648998030,1,3
1648998746,5,2
1648999465,5,1
1649000184,1,0
1649000901,3,0
1649001632,1,0
1649002341,2,0
1649003062,4,1
1649004500,2,1
1649005225,3,7
1649005944,1,0
1649006664,2,1
1649007380,3,4
1649008099,0,2
1649008822,3,3
1649009545,0,2
1649010264,3,2
1649010980,2,1
1649011886,3,3
1649012662,2,1
1649013386,3,0
1649014101,2,6
1649014822,2,1
1649015543,0,1
1649016983,1,0
1649017702,2,0
1649018420,2,1
1649019148,2,1
1649019864,2,1
1649020584,0,2
1649021303,6,0
1649022021,2,4
1649022744,2,2
1649024184,1,1
1649024906,1,2
1649025625,2,2
1649026341,3,0
1649027067,0,1
1649027795,3,3
1649029221,2,4
1649029943,2,6
1649030664,4,1
1649031380,5,4
1649032100,3,2
1649032821,1,3
1649033545,278,5
1649034261,15,5
1649034986,23,8
1649035705,18,6
1649036426,6,9
1649037385,13,8
1649038101,6,0
1649038822,7,3
1649039541,4,7
1649040265,3,10
1649040983,8,0
1649041701,4,6
1649042424,5,1
1649043142,10,3
1649043861,4,3
1649044584,2,4
1649045304,10,3
1649046021,9,1
1649046740,3,2
1649047461,2,1
1649048181,2,2
1649048900,1,0
1649049622,1,1
1649050342,3,1
1649051063,4,3
1649051785,3,3
1649052501,1,0
1649053220,5,3
1649053942,4,2
1649054661,1,2
1649055380,2,1
1649056101,4,4
1649056822,6,1
1649057541,3,5
1649058263,5,4
1649058980,4,0
1649059704,1,2
1649060423,4,0
1649061146,3,2
1649061863,3,0
1649062585,3,1
1649063305,3,3
1649064021,1,0
1649064740,2,4
1649065461,2,1
1649066184,1,2
1649066900,5,3
1649067622,3,2
1649068343,3,2
1649069064,2,2
1649070500,1,0
1649071222,2,2
1649071948,0,9
1649072661,4,1
1649073383,0,3
1649074102,1,1
1649075071,0,2
1649075783,1,2
1649076502,1,3
1649077229,6,4
1649077942,1,3
1649078666,4,2
1649079381,3,1
1649080104,3,3
1649080830,1,0
1649081546,5,4
1649082989,2,1
1649083702,3,1
1649084421,3,1
1649085143,5,4
1649085864,1,1
1649086580,3,0
1649087300,2,1
1649088021,3,2
1649088741,5,2
1649089464,3,0
1649090185,1,2
1649090904,3,1
1649091622,2,1
1649092341,1,2
1649093065,1,2
1649093783,4,3
1649094506,3,0
1649095228,2,1
1649095946,2,4
1649096662,1,1
1649097382,2,2
1649098103,4,1
1649098828,2,1
1649099544,3,4
1649100264,0,2
1649100981,1,2
1649101701,1,1
1649102424,2,4
1649103144,2,2
1649103863,1,0
1649104585,1,2
1649105303,1,0
1649106035,1,4
1649106741,2,3
1649107466,2,1
1649108185,3,3
1649108902,2,1
1649109635,2,0
1649110347,1,2
1649111008,1,2
1649111781,2,2
1649112503,0,2
1649113227,3,4
1649114187,3,5
1649114905,2,0
1649115627,1,6
1649116345,5,2
1649117062,3,0
1649117781,3,4
1649118502,1,0
1649119222,3,4
1649119945,6,12
1649120667,4,0
1649121381,4,9
1649122105,10,3
1649122825,8,6
1649123541,4,9
1649124263,5,6
1649125223,11,13
1649125946,3,4
1649126663,4,2
1649127380,3,5
1649128105,2,6
1649128820,6,2
1649129541,3,8
1649130261,3,1
1649130981,0,1
1649131705,5,4
1649132420,4,1
1649133141,2,5
1649133861,0,1
1649134581,4,0
1649135303,5,0
1649136021,2,2
1649136741,2,1
1649137466,5,1
1649138180,2,1
1649138901,2,0
1649139624,3,1
1649140343,3,0
1649141062,4,3
1649141782,1,0
1649142742,2,1
1649143463,2,4
1649144183,3,1
1649144901,0,2
1649146341,4,1
1649147062,2,1
1649147786,1,2
1649148504,3,2
1649149227,1,6
1649149940,1,2
1649150663,3,1
1649151381,1,4
1649152104,3,1
1649152830,2,3
1649153543,3,2
1649154263,5,3
