DateTime,AddedIPs,RemovedIPs
1648665009,7,10
1648665729,2,0
1648666448,3,0
1648668612,3,18
1648669328,0,1
1648670047,1,0
1648672211,0,920
1648672928,906,0
1648673648,2,1
1648675813,0,907
1648676531,909,0
1648676888,45,1
1648678687,5,18
1648679047,1,6
1648680486,2,19
1648681224,2,4
1648681569,1,4
1648683369,2,16
1648684087,2,1
1648685168,4,4
1648685886,4,2
1648686609,1,3
1648687327,2,0
1648688047,1,2
1648688767,1,5
1648689127,1,0
1648690928,2,5
1648691646,0,2
1648693812,4,19
1648694168,0,3
1648695309,0,2
1648696328,2,3
1648697047,2,3
1648697768,6,8
1648699566,4,5
1648700646,3,0
1648701368,1,7
1648702087,1,1
1648704246,6,8
1648704969,6,7
1648705327,2,0
1648707128,10,8
1648707847,2,1
1648708210,0,5
1648709287,3,5
1648711446,12,7
1648712168,2,11
1648712888,1,1
1648714687,6,12
1648715410,3,5
1648716127,3,1
1648716853,3,0
1648718647,10,6
1648719011,0,857
1648719729,859,0
1648720448,4,0
1648721886,11,5
1648722610,5,6
1648723328,3,3
1648723687,2,0
1648725488,14,7
1648726210,4,13
1648727287,3,2
1648727648,2,1
1648728367,6,7
1648729087,4,0
1648729813,11,7
1648730529,5,3
1648731247,4,1
1648731967,4,4
1648732687,1,0
1648734186,2,8
1648734848,3,1
1648736288,4,7
1648737011,2,9
1648738090,6,3
1648738447,1,0
1648739528,7,3
1648740247,4,0
1648740968,4,3
1648741686,3,0
1648743487,5,5
1648743846,2,0
1648744569,4,7
1648745289,3,1
1648745646,1,0
1648746368,1,3
1648747448,4,0
1648748166,1,18
1648748889,6,0
1648749247,1,0
1648749966,1,9
1648750688,3,0
1648752127,2,11
1648752848,4,0
1648753568,0,1
1648754286,1,1
1648754647,1,0
1648755369,4,5
1648756087,5,0
1648756447,3,0
1648758611,10,23
1648759329,2,7
1648760769,7,34
1648762566,4,7
1648763287,6,0
1648764371,1,5
1648765448,2,0
1648766167,5,11
1648766887,0,2
1648767967,3,2
1648769111,5,0
1648770128,3,3
1648770849,2,0
1648771566,2,6
1648772288,0,1
1648773012,2,2
1648773367,3,0
1648775888,4,4
1648776610,1,5
1648777688,4,0
1648779128,3,6
1648779848,15,1
1648780566,27,1
1648781288,14,2
1648782728,5,3
1648783449,3,0
1648785248,4,6
1648785966,1,5
1648788126,7,5
1648788489,1,0
1648789567,2,7
1648790287,2,0
1648791427,3,3
1648792567,7,0
1648793167,2,6
1648793889,1,0
1648794611,3,8
1648795688,3,7
1648796048,3,0
1648796767,4,5
1648797487,1,0
1648798939,4,8
1648800367,4,2
1648801086,2,0
1648801810,2,6
1648802533,1,2
1648803248,2,0
1648803966,4,4
1648804688,4,0
1648805410,2,7
1648806128,7,1
1648806847,7,0
1648807566,6,3
1648808287,5,0
1648808647,4,0
1648809739,12,8
1648810447,8,0
1648811527,8,10
1648811887,4,0
1648812615,5,4
1648813689,2,2
1648814047,2,0
