DateTime,AddedIPs,RemovedIPs
1648141928,2,16
1648143734,4,1
1648144932,3,0
1648146612,1,1
1648150210,0,2
1648151288,1,1
1648152429,1,0
1648154531,2,0
1648154892,1,0
1648156330,2,0
1648158131,1,1
1648159930,2,0
1648161013,6,0
1648162088,12,0
1648162449,2,0
1648163171,2,0
1648170368,3,0
1648171811,0,1
1648172950,0,1
1648177929,0,1
1648179014,1,0
1648182970,1,1
1648190169,1,0
1648193411,0,1
1648199168,1,13
1648200613,0,3
1648203490,0,2
1648204211,0,1
1648206374,0,1
1648208530,0,1
1648211050,2,0
1648214289,2,1
1648215370,0,2
1648217888,10,0
1648222214,0,3
1648223649,1,0
1648224368,5,0
1648226170,1,0
1648229049,1,0
1648232649,1,0
1648234931,2,0
1648235890,1,0
1648237330,0,1
1648240212,0,1
1648240932,1,0
1648244169,0,2
1648248488,0,2
1648256419,1,1
1648264691,0,2
1648265413,0,3
1648267568,0,4
1648269369,0,5
1648272248,1,1
1648272970,0,1
1648274768,0,2
1648276211,0,2
1648278729,4,0
1648279449,1,0
1648280169,0,4
1648280890,1,0
1648281624,0,2
1648287370,0,2
1648289170,4,2
1648290612,0,3
1648293188,0,2
1648294570,1,5
1648296728,0,1
1648297451,1,0
1648298169,0,3
1648300389,1,0
1648301412,0,2
1648303932,1,2
1648304647,1,0
1648305369,0,2
1648307168,1,0
1648308969,0,15
1648310769,0,4
1648313049,2,2
1648315089,1,5
1648318690,0,1
1648321225,0,2
1648324089,0,3
1648325169,0,3
1648328050,1,0
1648328770,1,1
1648330569,0,11
1648331288,1,0
1648332370,0,10
1648334530,0,1
1648338131,1,0
1648341014,0,3
1648343170,2,0
1648344968,2,0
1648346049,1,0
1648347851,2,0
1648348570,0,1
1648353250,0,1
1648355768,0,1
1648359369,0,1
1648364768,1,0
1648367348,1,0
1648368371,1,0
1648370168,3,0
1648370531,1,0
1648371251,5,0
1648372689,1,0
1648374130,1,0
1648374490,1,0
1648377013,1,0
1648377729,1,0
1648379169,1,2
1648380968,2,0
1648382049,1,0
1648384269,4,3
1648386019,3,0
1648387089,1,0
1648387814,2,1
1648388169,1,0
1648390689,1,0
1648392489,1,1
1648394289,0,5
1648395012,0,10
1648396449,1,1
1648400048,0,1
1648400768,1,1
1648401488,1,0
1648402212,0,1
1648404368,0,2
1648406169,1,1
1648410129,0,1
1648412289,0,1
1648418050,1,0
1648421650,1,0
1648426030,2,2
1648428131,1,0
1648429568,1,0
1648442170,1,1
1648442889,0,1
1648448289,1,4
1648449011,0,2
1648450448,1,0
1648456569,1,1
1648457648,1,0
1648459448,0,1
1648460169,0,3
1648464488,1,1
1648465631,1,0
1648467370,6,1
1648470248,1,0
1648470613,0,1
1648472769,0,1
1648473489,1,0
1648474210,0,1
1648476788,0,1
1648478950,1,0
1648481415,0,1
1648482129,1,0
1648483224,1,0
1648483929,1,0
1648484648,1,0
1648485730,4,1
1648486929,1,0
1648488968,1,0
1648491488,3,0
1648495815,1,0
1648498330,0,1
1648499769,0,1
1648501570,0,1
1648503731,1,0
1648505530,1,0
1648506249,0,1
1648507692,1,1
1648510214,0,1
1648513089,1,0
1648513810,0,4
1648514529,1,0
1648517049,0,1
1648517770,0,2
1648529709,1,0
1648535413,0,1
1648537568,0,2
1648538291,1,0
1648539011,3,0
1648539369,0,1
1648541527,1,6
1648543331,1,0
1648544048,1,0
1648545488,1,2
1648547289,2,2
1648548369,1,1
1648550530,1,2
1648551970,0,1
1648553412,0,2
1648554130,0,2
1648555928,2,0
1648557013,1,2
1648558089,0,1
1648559889,2,0
1648561689,0,1
1648563489,0,1
1648567088,1,3
1648571411,0,2
1648572490,1,0
1648575013,0,1
1648576120,1,0
1648577229,1,0
1648578613,2,0
1648580049,1,0
1648581490,1,0
1648582211,1,0
1648582928,1,0
1648583650,1,0
1648586531,2,1
1648589049,1,0
1648590131,2,1
1648593015,1,1
1648594450,1,0
1648594823,0,1
1648595889,2,0
1648596615,0,1
1648598770,0,1
1648604889,1,0
1648607771,1,0
1648611371,1,0
1648615688,1,0
1648617127,1,1
1648622529,1,0
1648623969,0,1
1648625048,1,0
1648625770,0,1
1648627222,0,1
1648630823,1,0
1648631528,2,0
1648633689,4,0
1648635490,1,1
1648636569,0,6
1648637291,1,0
1648639089,1,0
1648640170,0,1
1648653849,1,0
1648654569,0,4
1648656369,0,3
1648657810,0,1
1648660688,6,4
1648663569,3,0
1648665010,0,1
1648666449,1,0
1648668613,2,0
1648672214,1,1
1648675816,0,1
1648678688,2,1
1648679049,1,0
1648680489,1,0
1648683372,0,2
1648685170,2,0
1648686611,0,1
1648687328,13,0
1648688048,1,0
1648688769,1,0
1648691648,1,0
1648693814,3,0
1648694169,1,0
1648695311,2,0
1648697769,0,1
1648699568,4,1
1648699930,2,0
1648700648,1,0
1648702088,3,0
1648704248,6,0
1648704971,3,0
1648705329,1,0
1648707130,1,0
1648708212,0,4
1648711448,2,0
1648712170,1,1
1648718649,0,2
1648719012,0,1
1648721887,1,0
1648723329,1,0
1648726212,0,2
1648727289,1,0
1648727650,1,0
1648729814,1,2
1648730531,2,0
1648732689,1,0
1648737013,1,0
1648740970,1,1
1648743488,0,1
1648743848,0,1
1648745291,0,1
1648746369,0,3
1648748168,0,1
1648748890,3,0
1648749967,12,2
1648750690,1,0
1648752128,0,2
1648752850,1,0
1648755371,1,2
1648758614,1,2
1648759331,0,1
1648760771,0,2
1648762568,0,1
1648763289,0,1
1648764373,0,1
1648766168,1,3
1648771567,1,0
1648773013,0,2
1648775890,17,0
1648776612,13,1
1648779129,8,0
1648779850,1,0
1648782730,1,0
1648783451,1,0
1648785969,0,1
1648788128,0,1
1648791428,0,2
1648793169,1,0
1648793891,0,1
1648794612,1,0
1648800368,1,1
1648801812,0,3
1648802535,0,4
1648804690,1,0
1648805411,0,3
1648807568,0,3
1648808288,1,0
1648812617,6,0
1648815129,0,1
1648821970,1,0
1648823412,0,1
1648827015,0,1
1648830613,1,4
1648833127,0,1
1648834268,0,2
1648835650,0,1
1648837091,0,1
1648837812,0,1
1648838170,0,1
1648839250,1,0
1648842129,1,1
1648844649,1,1
1648845369,1,0
1648847170,1,1
1648848611,1,1
1648850424,1,1
1648855813,0,2
1648857969,0,13
1648861570,0,1
1648863370,1,3
1648865589,0,1
1648868770,0,2
1648871290,0,6
1648872729,1,3
1648874170,1,7
1648875622,0,1
1648878488,6,0
1648882448,0,3
1648887140,2,0
1648891810,2,1
1648893621,0,1
1648895943,1,0
1648898288,1,2
1648900089,0,2
1648902968,0,1
1648906213,0,1
1648907648,1,0
1648909447,1,1
1648910170,1,1
1648913411,8,0
1648914129,16,0
1648914847,3,0
1648916289,2,0
1648917010,2,0
1648919169,0,4
1648919527,1,0
1648920612,2,10
1648921332,1,0
1648923489,2,1
1648924212,0,1
1648926368,4,1
1648927091,1,0
1648927815,1,0
1648928891,1,0
1648935069,0,1
1648937170,1,0
1648940769,0,1
1648945087,1,0
1648945815,0,28
1648948692,1,0
1648949411,0,7
1648953369,0,1
1648954090,2,0
1648956969,1,0
1648960212,11,0
1648962729,1,0
1648964531,0,2
1648967412,1,0
1648969927,0,1
1648973170,1,0
1648973889,1,0
1648974613,0,1
1648977488,1,0
1648985769,2,0
1648989734,1,0
1648991173,1,1
1648997648,1,0
1649000589,0,7
1649002330,2,0
1649004849,2,0
1649005570,2,0
1649006290,2,0
1649008090,3,0
1649008822,0,1
1649009169,2,0
1649010975,3,1
1649012049,4,0
1649012418,1,0
1649014211,8,2
1649016020,2,1
1649018889,1,1
1649021412,1,0
1649023631,1,0
1649024650,2,0
1649025789,1,0
1649027169,1,0
1649028613,1,0
1649030769,5,0
1649031489,1,0
1649032931,0,1
1649034728,14,0
1649037249,1,0
1649039411,2,0
1649041332,3,1
1649042055,2,0
1649042650,1,0
1649043369,1,1
1649046968,1,1
1649049129,0,6
1649050212,0,2
1649051649,1,0
1649054530,1,0
1649055248,1,0
1649057050,0,1
1649057769,1,1
1649061011,1,2
1649064252,0,1
1649068989,0,1
1649070021,1,0
1649072891,2,0
1649077330,0,1
1649079013,0,2
1649079728,1,0
1649082613,0,6
1649084424,0,23
1649084768,0,1
1649086574,0,4
1649089814,0,3
1649092689,1,2
1649093770,0,1
1649097013,7,6
1649097729,1,0
1649098449,2,0
1649099168,1,1
1649104211,1,0
1649104930,1,0
1649106429,0,1
1649107090,1,0
1649107814,1,1
1649108528,1,0
1649109251,3,0
1649111051,4,0
1649111413,2,0
1649113569,2,0
1649114288,4,0
1649115369,1,1
1649115731,1,0
1649116448,1,0
1649117169,1,0
1649117889,2,0
1649118615,0,1
1649118972,2,0
1649120048,1,0
1649121848,3,0
1649123649,2,1
1649124370,0,2
1649125452,1,0
1649126170,1,1
1649127971,1,0
1649129769,1,1
1649131570,1,1
1649134450,1,0
1649135562,1,0
1649136248,0,1
1649136969,3,1
1649139549,2,0
1649143447,0,1
1649144170,0,1
1649147415,0,1
1649149221,1,1
1649152448,1,0
