DateTime,AddedIPs,RemovedIPs
1648664291,1,0
1648665012,7,10
1648665732,2,0
1648666451,3,0
1648668615,2,18
1648669332,0,1
1648670051,1,0
1648672216,5,16
1648672932,2,4
1648673652,2,1
1648675820,6,84
1648676534,84,4
1648676893,44,1
1648678691,5,16
1648679051,1,6
1648680491,2,18
1648681230,2,4
1648681574,0,4
1648683373,2,16
1648684091,2,1
1648685172,4,4
1648685888,4,2
1648686615,1,3
1648687330,2,0
1648688050,1,2
1648688771,1,5
1648689131,1,0
1648690931,2,5
1648691650,0,2
1648693817,4,18
1648694171,0,3
1648695314,0,2
1648696333,2,3
1648697051,1,3
1648697772,6,7
1648699570,4,5
1648700650,3,0
1648701371,1,6
1648702090,1,1
1648704249,6,8
1648704973,6,7
1648705331,2,0
1648707131,11,8
1648707851,1,1
1648708216,0,5
1648709291,3,4
1648711449,13,7
1648712172,2,10
1648712891,1,1
1648714690,6,11
1648715414,3,5
1648716130,3,1
1648716856,3,0
1648718651,9,6
1648719014,1,3
1648719732,5,1
1648720451,3,0
1648721889,11,4
1648722615,3,5
1648723330,3,3
1648723690,2,0
1648725493,14,5
1648726214,4,13
1648727290,3,2
1648727652,2,1
1648728371,6,7
1648729090,4,0
1648729817,11,7
1648730533,6,3
1648731251,3,1
1648731971,4,4
1648732691,1,0
1648734190,2,6
1648734851,3,1
1648736292,4,7
1648737016,2,9
1648738094,6,2
1648738451,1,0
1648739531,7,3
1648740251,4,0
1648740972,3,3
1648741690,3,0
1648743490,5,5
1648743850,2,0
1648744573,4,6
1648745293,3,1
1648745650,1,0
1648746371,1,3
1648747452,4,0
1648748169,1,18
1648748892,5,0
1648749251,1,0
1648749969,1,6
1648750692,3,0
1648752130,2,9
1648752851,4,0
1648754289,1,1
1648754651,1,0
1648755373,4,5
1648756090,4,0
1648756450,3,0
1648758616,10,23
1648759333,2,6
1648760773,7,34
1648762570,4,6
1648763291,6,0
1648764376,1,5
1648765452,2,0
1648766170,5,10
1648766889,0,2
1648767970,3,2
1648769115,5,0
1648770131,3,2
1648770853,2,0
1648771569,2,6
1648772291,0,1
1648773015,1,2
1648773370,3,0
1648775892,4,4
1648776614,1,5
1648777691,4,0
1648779132,3,5
1648779852,15,1
1648780571,28,0
1648781293,13,2
1648782732,3,3
1648783453,2,0
1648785252,3,6
1648785970,1,5
1648788129,7,5
1648788492,1,0
1648789570,2,7
1648790291,2,0
1648791430,3,3
1648792571,8,0
1648793171,2,5
1648793893,1,0
1648794614,2,8
1648795692,3,6
1648796051,3,0
1648796771,3,5
1648797491,1,0
1648798942,1,8
1648800370,5,2
1648801089,1,0
1648801814,2,6
1648802537,2,2
1648803252,2,0
1648803969,4,3
1648804691,4,0
1648805413,2,7
1648806131,7,1
1648806850,7,0
1648807570,5,3
1648808290,5,0
1648808650,4,0
1648809742,12,8
1648810451,8,0
1648811530,8,9
1648811891,3,0
1648812619,5,4
1648813692,2,1
1648814050,2,0
1648815131,3,3
1648815851,4,0
1648816572,4,3
1648817291,1,1
1648818806,1,5
1648819815,2,11
1648820951,0,3
1648821972,2,11
1648822694,1,0
1648823414,4,15
1648825226,2,6
1648825932,2,0
1648827017,4,18
1648827741,3,2
1648828450,2,0
1648829170,6,22
1648830616,3,14
1648831331,2,0
1648832050,2,0
1648833129,4,5
1648834271,3,11
1648834958,1,2
1648835651,2,0
1648837093,4,3
1648837813,1,5
1648840692,2,1
1648842131,3,6
1648843930,3,5
1648844650,1,0
1648845371,3,2
1648847173,7,52
1648848615,8,5
1648850428,399,6
1648851852,28,17
1648852572,4,11
1648853291,8,7
1648853653,3,2
1648854372,5,5
1648855091,8,5
1648855816,6,9
1648856892,5,6
1648857971,1,3
1648858690,2,2
1648859055,2,0
1648860850,4,7
1648861571,1,6
1648863372,2,4
1648863732,3,2
1648864449,1,2
1648865591,1,3
1648865890,2,0
1648866974,5,9
1648868052,3,3
1648868773,0,5
1648869491,5,1
1648869852,0,1
1648871291,4,12
1648872731,4,5
1648873452,0,1
1648874172,3,15
1648874891,2,1
1648875625,1,6
1648876750,0,2
1648878489,3,6
1648878852,0,1
1648879571,4,5
1648880290,0,1
1648880652,1,1
1648882450,9,14
1648883530,10,5
1648884250,2,1
1648885690,7,9
1648887154,5,8
1648887850,1,3
1648888571,2,13
1648889292,1,0
1648890024,1,10
1648891811,6,11
1648892533,3,2
1648893267,1,1
1648893625,0,12
1648894829,1,2
1648895944,6,19
1648896491,1,0
1648898289,4,9
1648900091,11,22
1648901890,7,8
1648902251,1,1
1648902970,1,16
1648904769,6,4
1648905491,1,0
