DateTime,AddedIPs,RemovedIPs
1648251368,1,3
1648254248,1,1
1648254969,0,2
1648256418,1,0
1648259290,1,0
1648260369,1,2
1648261449,1,0
1648262890,1,0
1648264691,2,1
1648265413,2,0
1648266130,1,0
1648267568,0,1
1648269369,0,2
1648274768,1,2
1648276211,0,2
1648278729,0,1
1648280169,0,2
1648280889,1,0
1648281624,1,0
1648283411,0,1
1648284487,1,0
1648285568,1,0
1648287370,0,1
1648289890,1,0
1648291330,1,0
1648293188,1,1
1648298169,0,1
1648300388,1,0
1648301412,0,1
1648302489,1,1
1648303932,0,1
1648305368,0,1
1648307168,1,0
1648308969,1,0
1648313049,2,0
1648316528,1,1
1648321225,0,1
1648322289,1,0
1648328050,0,1
1648330569,1,0
1648331287,1,0
1648332369,0,2
1648336332,1,41
1648336689,0,5
1648337414,1,1
1648338131,1,0
1648339221,2,1
1648340289,1,0
1648341014,0,1
1648343170,1,1
1648344968,1,0
1648347130,1,0
1648348570,0,2
1648351448,1,0
1648351812,0,1
1648353967,1,1
1648355768,0,19
1648359369,1,0
1648360875,1,2
1648363688,0,3
1648364768,0,3
1648368370,0,2
1648370168,2,0
1648371251,2,0
1648377728,1,0
1648379168,0,3
1648380967,1,0
1648384269,1,2
1648389971,0,1
1648391412,0,2
1648395011,0,1
1648400048,0,1
1648402212,0,1
1648406169,0,1
1648407969,1,0
1648408689,1,0
1648409412,0,1
1648412289,1,1
1648415170,0,1
1648418050,1,0
1648418769,0,1
1648421649,3,0
1648422730,4,0
1648423449,2,0
1648423815,1,0
1648424888,3,0
1648426030,2,0
1648426688,2,0
1648429568,0,1
1648430289,1,0
1648431367,1,0
1648433169,3,0
1648434613,2,0
1648438568,2,0
1648440728,2,0
1648442169,1,0
1648443617,2,2
1648444327,2,0
1648445768,1,0
1648449011,1,0
1648450448,2,0
1648452248,1,0
1648452615,1,1
1648453688,1,0
1648454049,1,0
1648457648,2,0
1648459448,1,0
1648461309,2,0
1648463049,0,1
1648464487,0,1
1648465631,1,0
1648467370,1,0
1648469167,1,0
1648472769,1,0
1648475288,1,0
1648476788,2,0
1648477810,0,1
1648479970,1,1
1648483224,2,1
1648486929,0,1
1648487891,1,0
1648491488,0,1
1648493649,1,1
1648494374,1,0
1648497249,2,0
1648499769,0,2
1648502290,1,0
1648503731,0,40
1648505530,1,2
1648506249,1,0
1648507691,3,1
1648510929,2,0
1648513810,1,1
1648514529,1,0
1648515248,1,0
1648517049,0,1
1648517770,1,1
1648519569,1,0
1648520651,2,0
1648522450,2,1
1648523172,1,2
1648523531,1,0
1648524250,2,0
1648527489,2,0
1648528568,0,1
1648529709,4,0
1648530367,2,1
1648532888,5,0
1648535413,3,0
1648536128,1,0
1648536850,1,0
1648537568,2,0
1648538291,1,0
1648539011,0,1
1648539369,1,1
1648540090,2,0
1648541527,0,1
1648543331,2,0
1648545488,2,0
1648547288,2,0
1648548730,1,0
1648550530,1,1
1648551248,3,0
1648553411,1,1
1648554129,1,0
1648556292,1,0
1648558089,1,0
1648559889,2,0
1648561689,1,1
1648563489,1,0
1648564215,1,0
1648568169,2,0
1648569249,1,0
1648569969,1,0
1648572490,1,0
1648573568,1,0
1648575013,1,0
1648576120,1,0
1648578613,0,1
1648581489,1,0
1648582211,0,1
1648582928,1,0
1648583650,1,0
1648587248,1,0
1648587970,1,0
1648588690,1,0
1648590130,0,38
1648590849,1,0
1648593014,2,0
1648594450,2,0
1648595889,1,0
1648596615,4,0
1648597689,4,0
1648598048,1,0
1648598770,2,0
1648600568,2,2
1648602367,3,0
