DateTime,AddedIPs,RemovedIPs
1648696330,9,162
1648697049,1,0
1648697769,8,231
1648699568,8,138
1648699930,4,0
1648700648,6,0
1648701369,3,96
1648702088,4,12
1648702448,1,0
1648704247,20,44
1648704971,8,82
1648705328,0,2
1648707129,6,47
1648707848,1,0
1648708212,5,50
1648709289,9,4
1648711448,11,9
1648712170,5,10
1648712889,7,0
1648714688,11,18
1648715411,2,16
1648716128,6,6
1648716855,4,0
1648718649,9,12
1648719012,2,11
1648719730,4,4
1648720449,8,0
1648721887,9,9
1648722612,5,16
1648723329,4,3
1648723688,2,0
1648725490,5,13
1648726211,4,10
1648727288,6,2
1648727650,5,1
1648728369,8,10
1648729088,3,3
1648729814,5,16
1648730531,10,9
1648731249,5,1
1648731969,6,5
1648732688,4,0
1648733048,5,0
1648734188,9,10
1648734849,10,0
1648736289,15,6
1648737013,10,14
1648738092,7,4
1648738449,6,0
1648739529,6,14
1648740248,7,2
1648740970,9,7
1648741688,5,1
1648743488,26,7
1648743847,3,0
1648744570,5,9
1648745291,5,2
1648745648,2,0
1648746369,14,11
1648746730,6,0
1648747449,9,1
1648748168,2,20
1648748890,9,2
1648749249,2,0
1648749967,18,12
1648750690,6,1
1648751053,7,2
1648752849,20,28
1648753570,3,14
1648754287,5,0
1648754648,8,2
1648755371,10,23
1648756088,11,1
1648756448,1,0
1648758613,25,24
1648759330,8,9
1648760770,18,11
1648762568,18,18
1648763289,2,0
1648764373,10,14
1648765091,3,0
1648765450,7,0
1648766168,6,14
1648766888,12,1
1648767968,14,5
1648769113,8,1
1648770129,10,21
1648770850,11,0
1648771567,5,16
1648772289,6,0
1648773013,11,18
1648773369,1,0
1648774087,7,4
1648774449,7,0
1648775890,16,4
1648776611,14,11
1648777689,14,4
1648779129,18,10
1648779850,13,0
1648780568,8,23
1648781290,6,7
1648782730,21,15
1648783451,8,0
1648785249,32,20
1648785968,8,12
1648788127,24,26
1648788490,6,0
1648789568,35,14
1648790288,10,0
1648791428,12,17
1648792569,12,1
1648793168,6,20
1648793890,12,0
1648794612,6,15
1648795690,20,9
1648796049,6,0
1648796769,3,8
1648797488,5,0
1648798940,12,15
1648800368,10,11
1648801087,13,0
1648801811,8,13
1648802534,13,7
1648803249,12,1
1648803967,5,15
1648804689,13,1
1648805411,14,12
1648806129,6,3
1648806848,14,2
1648807568,7,13
1648808288,5,0
1648808648,3,0
1648809741,11,34
1648810448,10,0
1648811528,6,21
1648811889,1,2
1648812617,4,27
1648813690,6,3
1648814048,2,0
1648815129,7,19
1648815850,4,1
1648816570,8,23
1648817288,8,4
1648817650,2,0
1648818804,10,12
1648819813,7,23
1648820949,5,6
1648821969,5,13
1648822691,1,0
1648823411,4,18
1648825221,4,11
1648825930,3,1
1648827015,5,15
1648827739,4,2
1648829168,7,10
1648830613,9,12
1648831330,5,6
1648832049,2,0
1648833127,8,6
1648834268,6,15
1648834956,8,82
1648835649,5,1
1648837091,10,9
1648837811,3,11
1648838170,1,0
1648839250,10,0
1648840689,7,11
1648842129,8,25
1648843928,10,12
1648844649,7,1
1648845369,4,19
1648847170,9,16
1648848611,5,33
1648850423,8,76
1648851850,17,2
1648852569,8,20
1648853288,3,1
1648853651,3,1
1648854369,4,20
1648855089,5,0
1648855813,5,16
1648856889,7,3
1648857250,4,0
1648857968,10,14
1648858688,10,2
1648860847,10,20
1648861570,5,12
1648863369,11,25
1648863730,6,2
1648864447,3,0
1648865589,10,12
1648865889,1,1
1648866971,6,13
1648868051,10,0
1648868770,1,9
1648869489,3,0
1648869849,0,1
1648871290,12,21
1648872729,5,6
1648873450,6,0
1648874170,3,23
1648874889,3,0
1648875621,6,4
1648876748,4,0
1648878487,10,17
1648878850,2,0
1648879569,9,3
1648880288,4,0
1648880649,1,0
1648882448,12,24
1648883527,10,14
1648884248,8,0
1648885688,10,16
1648887129,9,12
1648887848,1,0
1648888568,7,12
1648889289,4,0
1648890019,4,13
1648891810,16,14
1648892530,6,2
1648893258,3,0
1648893620,3,10
1648894779,49,5
1648895887,10,11
1648896489,3,0
1648898288,13,17
1648900089,16,26
1648901888,19,12
1648902250,2,0
1648902968,8,17
1648904767,15,17
1648905489,3,0
1648906213,9,18
1648906569,1,2
1648907647,10,0
1648909447,16,9
1648910169,5,21
1648910892,6,1
1648911249,5,2
1648911966,3,16
1648913411,8,21
1648914128,9,3
1648914847,11,0
1648915569,0,15
1648916288,6,0
1648917010,6,21
1648919168,21,23
1648919527,1,1
1648920612,8,27
1648921330,12,5
1648923488,20,18
1648924211,7,16
1648924929,6,6
1648925648,8,1
1648926368,4,13
1648927090,3,0
1648927814,2,18
1648928890,6,8
1648929619,4,16
1648929969,1,0
1648931769,12,26
1648932489,6,3
1648933928,11,13
1648935069,13,20
1648936447,12,1
1648937170,3,16
1648938969,3,22
1648939688,10,1
1648940051,0,1
1648940769,3,13
1648941489,4,2
1648942215,10,19
1648943649,9,1
1648944370,8,14
1648945087,18,0
1648945815,5,19
1648946168,5,2
1648947617,9,24
1648948691,16,0
1648949410,7,27
1648950129,4,1
1648951929,16,17
1648952650,8,0
1648954089,9,24
1648954450,7,0
1648956251,9,19
1648956968,5,28
1648957689,7,0
1648958049,2,0
1648958768,9,29
1648959487,6,1
1648960212,7,25
1648961286,12,10
1648962729,12,9
1648964531,13,28
1648965248,7,0
1648965968,5,24
1648966689,6,0
1648967412,12,11
1648968131,5,2
1648968489,1,0
1648969927,11,6
1648971013,8,24
1648971369,0,6
1648973170,6,22
1648973889,1,0
1648974613,3,29
1648975748,9,9
1648976769,11,22
1648977488,2,0
1648978211,5,11
1648979290,7,7
1648981090,21,14
1648982649,7,15
1648983973,7,4
1648984689,5,0
1648985050,1,0
1648985769,3,18
1648986489,3,0
1648987929,14,13
1648989011,10,11
1648989733,7,4
1648990449,5,1
1648991173,7,3
1648991592,4,0
1648992251,4,0
1648992971,5,2
1648993374,1,0
1648994049,4,1
1648994422,3,3
1648995128,3,0
1648996978,13,13
1648997648,4,0
1648998367,5,7
1648999089,5,0
1648999448,2,0
1649000588,5,9
1649002330,16,15
1649002688,1,1
1649003768,4,13
1649004849,4,6
1649005570,12,10
1649006290,2,1
1649008090,9,9
1649008821,6,13
1649009169,2,0
1649010973,6,13
1649012049,5,2
1649012417,3,6
1649014210,9,9
1649015288,5,1
1649016019,7,8
1649016730,5,0
1649017089,1,0
1649018889,15,8
1649019248,4,0
1649020689,16,10
1649021412,1,11
1649022177,4,1
1649022487,2,0
1649023630,9,10
1649024650,6,0
1649025788,10,9
1649027169,10,14
1649027891,6,0
1649028613,0,14
1649028971,1,0
1649030769,19,13
1649031489,13,1
1649032930,13,10
1649034728,14,9
1649035449,8,2
1649037248,16,11
1649038690,22,12
1649039411,4,7
1649040129,8,4
1649041331,15,5
1649042031,11,0
1649042650,6,0
1649043369,7,12
1649043731,1,0
1649044828,7,13
