DateTime,AddedIPs,RemovedIPs
1648696327,12,162
1648697047,1,0
1648697767,11,231
1648699565,25,139
1648699928,6,0
1648700646,7,0
1648701367,4,97
1648702086,4,12
1648704246,20,43
1648704969,9,84
1648707128,8,50
1648707846,4,0
1648708210,7,50
1648709286,11,4
1648711446,16,7
1648712168,4,12
1648712887,9,0
1648714686,12,18
1648715409,2,17
1648716127,6,5
1648716851,5,0
1648718646,11,12
1648719009,2,13
1648719728,5,2
1648720448,8,0
1648721885,12,11
1648722610,4,16
1648723327,5,2
1648723686,2,0
1648725488,12,13
1648726210,4,11
1648727287,4,2
1648727648,4,1
1648728367,9,11
1648729086,3,2
1648729812,5,18
1648730528,10,10
1648731246,7,1
1648731967,8,7
1648732686,4,0
1648733047,5,0
1648734186,10,11
1648734847,12,0
1648736287,15,7
1648737010,11,14
1648738090,6,4
1648738447,6,0
1648739528,7,15
1648740247,7,2
1648740968,9,6
1648741686,6,1
1648743486,23,6
1648743845,3,0
1648744569,8,10
1648745288,5,3
1648745646,3,0
1648746367,15,11
1648746728,6,0
1648747448,9,0
1648748166,4,23
1648748888,9,2
1648749247,2,1
1648749966,18,14
1648750687,7,0
1648751051,7,0
1648752127,19,30
1648752847,5,0
1648753568,2,14
1648754285,6,0
1648754647,8,0
1648755368,10,24
1648756086,12,0
1648756446,1,0
1648758610,25,29
1648759328,9,9
1648760768,19,12
1648762566,20,17
1648763286,2,0
1648764370,11,13
1648765088,3,0
1648765447,7,0
1648766166,6,14
1648766886,11,1
1648767966,14,7
1648769111,10,0
1648770127,10,21
1648770847,11,0
1648771566,5,16
1648772288,6,0
1648773011,10,18
1648773366,1,0
1648774085,9,3
1648774447,7,0
1648775888,15,5
1648776610,13,11
1648777687,14,4
1648779127,18,10
1648779848,13,0
1648780565,9,22
1648781288,7,5
1648782727,20,18
1648783449,8,0
1648785247,33,20
1648785966,8,12
1648788126,27,23
1648788488,6,0
1648789566,34,14
1648790287,9,0
1648791426,13,18
1648792567,11,0
1648793167,8,19
1648793888,12,0
1648794610,7,15
1648795688,17,9
1648796047,6,0
1648796767,3,8
1648797486,5,0
1648798939,11,17
1648800366,10,10
1648801085,13,0
1648801808,9,15
1648802533,12,7
1648803247,11,1
1648803965,6,15
1648804688,14,1
1648805409,15,13
1648806128,7,3
1648806846,17,2
1648807566,7,14
1648808286,5,1
1648808646,3,0
1648809738,12,33
1648810446,10,1
1648811527,6,20
1648811886,1,2
1648812615,4,27
1648813689,6,3
1648814046,2,0
1648815128,7,21
1648815848,4,0
1648816567,8,24
1648817286,7,4
1648817648,2,0
1648818802,10,12
1648819811,5,23
1648820947,5,5
1648821967,5,14
1648822690,1,0
1648823409,3,18
1648825217,7,11
1648825927,4,0
1648827011,5,15
1648827737,4,2
1648829166,7,10
1648830610,9,13
1648831328,5,6
