DateTime,AddedIPs,RemovedIPs
1648166406,9,11
1648168329,8,18
1648170261,9,23
1648172164,11,22
1648174103,5,14
1648176005,10,22
1648178168,14,18
1648180329,10,17
1648182247,10,28
1648184180,8,19
1648186089,20,15
1648188006,19,19
1648189926,23,17
1648192093,21,20
1648194021,20,14
1648195928,20,17
1648197844,22,12
1648199781,17,13
1648201686,22,19
1648203849,18,12
1648205763,14,10
1648207703,26,11
1648209616,22,17
1648211766,31,14
1648213924,24,17
1648215846,25,13
1648217782,25,24
1648219684,7,15
1648221847,6,6
1648223784,11,10
1648225685,10,23
1648227849,11,10
1648229783,9,16
1648231688,10,16
1648233625,13,17
1648235524,17,12
1648237445,16,13
1648239381,22,11
1648241286,14,17
1648243204,14,13
1648245146,8,6
1648247046,7,11
1648248964,15,6
1648250901,16,16
1648252808,22,8
1648254725,11,18
1648256664,8,14
1648258568,13,15
1648262645,11,28
1648264583,21,13
1648266488,20,10
1648268405,8,19
1648270347,18,12
1648272245,23,24
1648274412,24,9
1648276324,19,12
1648278269,18,18
1648280164,21,0
1648282103,23,39
1648284008,18,0
1648286188,23,31
1648288327,18,14
1648290246,17,17
1648292185,17,13
1648294084,14,11
1648296005,10,12
1648297945,18,23
1648299845,20,14
1648301765,15,16
1648303703,15,17
1648305608,19,0
1648307766,8,21
1648309702,14,19
1648311606,15,12
1648313524,15,16
1648315464,12,17
1648317365,18,16
1648319284,14,14
1648321223,19,13
1648323124,16,12
1648325288,13,11
1648327228,12,5
1648329129,19,10
1648331064,10,12
1648332965,7,6
1648335127,11,8
1648337043,12,13
1648338985,18,9
1648341125,9,8
1648343289,8,10
1648345225,10,18
1648347128,10,14
1648349045,8,13
1648350985,4,21
1648352885,7,20
1648354828,11,17
1648356727,6,14
1648358647,16,9
1648360584,19,0
1648362486,17,24
1648364410,10,0
1648366344,25,13
1648368245,33,18
1648370407,12,15
1648372349,14,32
1648374250,22,0
1648376165,19,25
1648378106,18,13
1648380017,13,29
1648381928,14,18
1648383864,25,23
1648385765,30,10
1648387924,14,22
1648389844,22,20
1648391788,23,31
1648393685,7,0
1648395847,13,18
1648398005,17,32
1648399926,10,16
1648401867,20,16
1648403765,8,0
1648405925,16,41
1648408085,24,13
1648410025,12,2
1648411925,10,12
1648413846,9,7
1648415783,10,16
1648417684,8,15
1648419847,7,10
1648421764,16,7
1648423705,12,6
1648425604,6,10
1648435205,5,71
1648437367,20,17
1648439527,18,12
1648441687,9,15
1648443608,15,15
1648445541,22,12
1648447448,21,16
1648449366,23,15
1648451303,15,10
1648453208,23,12
1648455371,17,9
1648457529,20,13
1648459445,16,8
1648461384,27,17
1648463292,18,17
1648465248,25,15
1648467130,22,16
1648469066,24,11
1648470970,12,12
1648473130,11,9
1648475065,9,12
1648476976,17,16
1648479128,23,22
1648481047,23,18
1648482983,17,20
1648484887,10,15
1648486835,16,22
1648488743,12,14
1648490648,8,13
1648492566,14,9
1648494502,9,18
1648496407,11,10
1648498568,13,8
1648500503,13,13
1648502405,6,9
1648504347,9,10
1648506246,12,13
1648508167,17,13
1648510103,8,17
1648512016,5,15
1648513925,11,0
1648515867,5,17
1648517765,14,12
1648520077,9,10
1648522102,10,25
1648524006,14,0
1648525926,10,15
1648527863,10,25
1648529768,13,0
1648531703,7,17
1648533612,21,23
1648535548,16,14
1648537451,22,13
1648539388,15,13
1648541289,24,15
1648543225,15,12
1648545129,10,11
1648547044,6,20
1648548984,22,19
1648550889,19,21
1648552805,26,15
1648554743,21,19
1648556646,11,19
1648558583,18,14
1648560484,13,22
1648562415,13,15
1648564346,5,13
1648566248,8,22
1648568166,20,15
1648570103,13,11
1648572004,14,18
1648574168,22,4
1648576329,12,14
1648578246,10,14
1648580184,13,16
1648582111,22,4
1648584036,12,11
1648585925,18,15
1648587844,22,13
1648589786,13,9
1648591686,8,0
1648593605,20,10
1648595545,14,12
1648597446,6,0
1648599382,6,21
1648601285,8,0
1648603448,10,20
1648605612,13,8
1648607527,9,6
1648609466,7,14
1648611364,15,20
1648613286,10,18
1648615227,2,12
1648617125,25,16
1648619286,17,16
1648621204,24,15
1648623143,20,13
1648625047,18,18
1648626966,22,19
1648628904,16,15
1648630836,21,14
1648632725,30,15
1648634665,26,10
1648636566,13,14
1648638725,29,18
1648640646,19,18
1648642583,16,14
1648644484,15,13
1648646648,15,21
1648648582,18,14
1648650487,19,15
1648652407,20,12
1648654344,14,15
1648656249,13,21
1648658185,9,16
1648660085,14,19
1648662005,20,10
1648663944,12,7
