DateTime,AddedIPs,RemovedIPs
1618866727,2,0
1618910404,1,0
1618954084,1,0
1618997763,1,0
1619085124,1,0
1619128879,1,0
1619172725,2,0
1619216404,3,0
1619260084,2,0
1619303764,2,0
1619434828,3,0
1619478484,1,0
1619565844,2,0
1619609524,1,0
1619653204,2,0
1619696884,2,0
1619828164,1,0
1619871844,2,0
1619915523,1,0
1619959205,2,0
1620046564,1,0
1620133923,2,0
1620177603,2,0
1620264964,1,0
1620396243,1,0
1620439924,1,0
1620483603,1,0
1620527525,2,0
1620571204,1,0
1620615125,1,0
1620658814,1,0
1620702484,1,0
1620746164,1,0
1620789843,1,0
1620877204,1,0
1620964565,1,0
1621095604,2,0
1621139284,1,0
1621182964,5,0
1621226644,1,0
1621270323,1,0
1621314018,2,0
1621357684,4,0
1621445045,1,0
1621532404,2,0
1621619766,1,0
1621816804,1,0
1621904409,1,0
1621948085,1,0
1621991764,1,0
1622035445,2,0
1622079124,2,0
1622122804,1,0
1622166724,1,0
1622210482,1,0
1622254566,1,0
1622298244,2,0
1622429524,1,0
1622517125,1,0
1622560804,6,0
1622604485,1,0
1622735765,1,0
1622823125,4,0
1622910485,1,0
1622954165,1,0
1622997845,1,0
1623041764,1,0
1623085444,3,0
1623129366,1,0
1623173044,11,0
1623260404,7,0
1623304085,3,0
1623347764,2,0
1623391685,3,0
1623522964,2,0
1623566644,2,0
1623697684,1,0
1623785524,2,0
1623829204,1,0
1623872884,2,0
1624004163,4,0
1624048084,4,0
1624179124,1,0
1624222815,4,0
1624266483,1,0
1624310165,3,0
1624353843,2,0
1624441204,2,0
1624485124,2,0
1624572727,1,0
1624660086,1,0
1624703764,1,0
1624747444,3,0
1624791123,2,0
1624834814,3,0
1624922406,1,0
1625009764,1,0
1625053444,1,0
1625097364,2,0
1625184963,2,0
1625272324,2,0
1625359924,2,0
1625447526,1,0
1625491203,3,0
1625534884,2,0
1625578563,1,0
1625622243,2,0
1625709614,1,0
1625753524,1,0
1625884805,1,0
1625972164,1,0
1626015843,3,0
1626059524,2,0
1626103204,1,0
1626146883,1,0
1626234244,1,0
1626277923,3,0
1626321846,2,0
1626365524,1,0
1626409204,1,0
1626496563,1,0
1626540244,5,0
1626583927,1,0
1626803044,2,0
1626934325,2,0
1626978244,3,0
1627153214,2,0
1627240563,1,0
1627284244,1,0
1627327924,2,0
1627415526,1,0
1627459208,1,0
