DateTime,AddedIPs,RemovedIPs
1647349300,40,28
1647352872,24,21
1647356550,26,27
1647358362,24,22
1647361908,29,19
1647365472,36,26
1647369168,29,28
1647372683,26,31
1647376315,20,68
1647379913,23,23
1647383477,25,26
1647387093,21,28
1647390686,71,30
1647394274,34,2754
1647396199,2730,0
1647398000,39,39
1647401489,46,42
1647406882,48,56
1647408681,59,54
1647410503,54,59
1647414090,83,74
1647417692,27,32
1647421311,15,72
1647423111,30,34
1647426733,57,21
1647430270,39,25
1647437470,43,49
1647441108,19,36
1647446499,43,19
1647450078,24,34
1647453678,37,50
1647455775,0,5554
1647457432,5554,0
1647459420,30,25
1647462702,17,23
1647468113,27,22
1647469913,19,23
1647471702,27,31
1647477077,40,20
1647480705,62,36
1647484278,68,41
1647486084,118,45
1647491483,48,49
1647493277,53,55
1647498721,38,67
1647502306,29,42
1647507738,47,32
1647509470,39,32
1647511286,32,35
1647518511,21,30
1647522110,38,36
1647525711,46,32
1647527510,6,5814
1647529432,5796,0
1647533034,43,16
1647534675,30,141
1647538279,18,25
1647543724,24,25
1647545521,22,42
1647549124,19,30
1647552710,25,28
1647558111,36,20
1647561681,21,58
1647563480,36,39
1647568869,63,36
1647572521,36,41
1647579676,106,115
1647586924,38,35
1647588722,23,26
1647592276,25,434
1647594173,401,0
1647595969,22,34
1647599538,26,29
1647603074,27,15
1647606695,32,21
1647612080,43,18
1647613912,23,29
1647617504,24,30
1647621074,44,18
1647626504,32,25
1647630105,32,33
1647631905,8,4500
1647633706,4490,0
1647635505,30,24
1647639091,27,21
1647644564,84,54
1647648100,43,33
1647657075,92,57
1647660741,37,43
1647667875,41,54
1647669706,48,44
1647673279,38,27
1647676990,19,29
1647682316,45,51
1647687708,21,22
1647691301,22,30
1647693099,29,44
1647698506,53,35
1647705705,35,43
1647709284,14,23
1647716506,46,42
1647718297,0,3932
1647720103,3932,0
1647721895,28,22
1647725591,10,30
1647730874,24,21
1647734475,32,29
1647736268,38,18
1647739914,45,2107
1647741697,2093,0
1647743580,34,41
1647747207,50,48
1647750674,52,53
1647756111,55,44
1647759709,28,25
1647761559,24,36
1647765078,16,24
1647768712,27,21
1647774072,30,33
1647781283,24,23
1647784883,34,24
1647788472,18,18
1647792106,21,41
1647795698,21,28
1647797496,21,21
1647801125,24,22
1647804706,14,4637
1647806507,2353,0
1647808275,2265,0
1647813716,24,21
1647817296,23,22
1647820872,21,34
1647824557,42,43
1647828084,65,30
1647831687,30,47
1647835272,37,38
1647838905,57,55
1647842505,54,43
1647846127,29,55
1647847933,31,64
1647853324,47,39
1647855126,48,34
1647860473,63,66
1647867674,31,41
1647871308,38,35
1647875118,40,20
1647876769,25,31
1647882079,44,51
1647889339,33,26
1647891137,27,25
1647894997,20,33
1647903737,49,45
1647905524,36,26
1647909073,26,32
1647914473,90,59
1647921710,47,50
1647925271,52,49
1647928918,52,59
1647932505,39,34
1647936079,21,35
1647939684,24,39
1647943327,31,44
1647945127,30,51
1647950527,70,29
1647952325,26,369
1647957700,33,23
1647961277,45,39
1647968547,26,18
1647970278,14,26
1647975669,23,23
1647977466,34,388
1647979275,358,0
1647984720,22,27
1647990069,26,27
1647993671,40,26
1647997268,24,21
1648000915,60,29
1648002706,25,36
1648006282,47,50
1648009929,44,52
1648013527,43,48
1648018888,31,49
1648022550,28,38
1648024350,31,31
1648028065,52,28
1648031483,44,174
1648033369,122,0
1648038720,25,27
1648047684,48,49
1648051278,28,28
1648054876,21,23
1648056675,24,820
1648058578,786,0
1648060306,26,18
1648063916,6,3906
1648065674,3889,0
1648067469,31,21
1648072925,27,23
1648074726,24,28
1648078292,39,20
1648085495,57,902
1648087266,855,0
1648089065,35,37
1648094580,37,50
1648096380,41,44
1648099927,48,49
1648105316,27,45
1648108941,30,33
1648110739,45,55
1648114298,36,31
1648119667,23,28
1648121465,38,20
1648125242,26,20
1648128801,28,28
1648134156,25,30
1648137760,55,36
1648144901,26,25
1648148507,27,63
1648150313,8,3725
1648152070,3718,0
1648155670,26,25
1648157525,27,30
1648161078,25,26
1648164728,29,22
1648168501,38,25
1648171904,51,26
1648174167,34,36
1648179096,38,41
1648182686,47,48
1648186321,36,39
1648189880,32,25
1648193490,26,26
1648195329,26,26
1648197086,40,56
1648198929,56,40
1648200691,49,97
1648202473,30,21
1648206076,43,23
1648211479,17,14
1648215076,29,26
1648220597,27,25
1648222308,24,27
1648225884,20,27
1648229560,39,31
1648233089,22,37
1648235009,19,33
1648243881,49,55
1648247560,21,31
1648251166,28,32
1648254684,32,30
1648260069,60,39
1648261866,26,29
1648267424,36,46
1648269223,43,45
1648272747,49,39
1648276347,29,31
1648279889,22,28
1648283625,21,22
1648287165,22,25
1648290766,15,24
1648294279,18,24
1648297880,31,20
1648301565,34,31
1648303279,26,31
1648308677,19,21
1648312349,27,29
1648315890,27,23
1648319467,63,24
1648323079,23,15
1648326705,17,38
1648328506,16,27
1648333982,14,27
1648337548,32,26
1648341078,35,21
1648343282,58,30
1648349041,28,42
1648350962,42,50
1648356722,56,46
1648360562,43,30
1648364405,28,31
1648366321,16,37
1648372322,20,16
1648374242,36,22
1648378081,27,20
1648380962,18,33
1648384802,30,34
1648388642,38,20
1648392482,27,21
1648396561,17,21
1648400642,19,28
1648402561,28,37
1648406402,24,22
1648410482,24,17
1648414823,15,28
1648416722,21,44
1648420562,20,18
1648426562,38,33
1648428482,27,43
1648434242,93,83
1648436162,47,40
1648438082,40,47
1648440040,45,41
1648441922,47,41
1648445762,42,28
1648449602,34,29
1648453442,20,55
1648457522,30,36
1648461361,51,29
1648465224,30,21
1648467122,30,25
1648470962,27,25
1648475042,37,31
1648476961,24,56
1648484881,20,18
1648486831,27,21
1648490642,29,28
1648492561,24,31
1648496402,64,30
1648500482,22,24
1648508162,47,45
1648512010,37,24
1648515842,30,29
1648521841,81,62
1648525921,49,52
1648529762,46,55
1648531682,46,36
1648535522,22,39
1648539362,22,40
1648543203,50,25
1648547042,38,36
1648550882,18,29
1648554722,31,24
1648558561,32,17
1648562407,28,33
1648564322,20,26
1648572002,55,44
1648576322,26,23
1648580162,19,24
1648584007,22,25
1648585921,32,41
1648589761,31,37
1648593602,17,28
1648595521,34,25
1648601281,21,19
1648603442,19,21
1648605606,72,58
1648607522,11,4456
1648609442,4434,0
1648611362,45,53
1648615203,53,45
1648619282,50,36
1648623122,26,31
1648625042,20,31
1648630833,28,40
1648634642,36,27
1648638722,45,56
1648640642,31,32
1648646642,48,52
1648652404,29,56
1648654323,56,30
1648656242,31,29
1648662002,19,31
1648665842,28,42
1648669682,45,29
1648673521,18,18
1648677361,21,30
1648681442,31,21
1648683362,35,26
1648687202,26,19
1648691042,51,36
1648694882,27,41
1648701122,79,90
1648704961,52,36
1648711442,34,29
1648713363,11,29
1648717228,28,27
1648719363,16,39
1648723442,30,43
1648727522,34,22
1648731362,28,23
1648733522,24,26
1648737362,24,18
1648741202,27,25
1648745522,18,31
1648749362,18,22
1648753682,29,23
1648755842,27,28
1648759682,18,24
1648763522,17,25
1648767606,28,22
1648769762,67,36
1648773842,22,22
1648777922,92,42
1648779842,32,37
1648785842,41,46
1648787762,53,50
1648793521,51,30
1648795443,28,16
1648799283,21,29
1648803123,29,45
1648805042,33,37
1648808882,39,21
1648812722,36,18
1648816562,23,24
1648820403,27,32
1648824482,38,23
1648826403,24,18
1648832162,17,30
1648836041,27,27
1648838163,26,16
1648842003,18,23
1648845843,15,36
1648849683,23,30
1648853762,25,19
1648857609,36,28
1648860722,26,29
1648866722,43,45
1648868882,36,30
1648870802,39,37
1648874642,48,49
1648878722,34,29
1648882562,32,27
1648884482,24,23
1648888323,22,22
1648892163,16,28
1648896242,21,25
1648900082,21,21
1648903923,31,17
1648907762,17,31
1648909682,52,29
1648911842,27,20
1648913761,15,24
1648917602,20,24
1648921442,24,25
1648925522,21,15
1648929361,17,27
1648933442,25,25
1648935362,20,24
1648937282,28,25
1648943042,28,21
1648947122,26,33
1648950962,49,36
1648955042,77,74
1648961042,38,58
1648964882,49,29
1648970642,37,36
1648972562,22,16
1648974482,16,22
1648976407,20,19
1648978322,18,19
1648980242,10,20
1648986241,31,13
1648990082,20,19
1648993921,19,24
1648997761,23,24
1649001842,20,22
1649003762,31,17
1649007602,15,33
1649011441,22,20
1649015282,24,27
1649019122,20,31
1649024162,22,36
1649026082,46,32
1649028002,32,46
1649029921,81,56
1649035682,36,25
1649037843,49,37
1649039762,32,41
1649043602,41,49
1649045762,49,50
1649051762,47,29
1649056562,27,22
1649058722,19,29
1649062562,25,53
1649067362,41,34
1649069521,47,28
1649075522,30,42
1649079602,27,29
1649083442,22,26
1649087522,20,14
1649091361,19,21
1649093522,21,35
1649097362,9,23
1649101202,28,25
1649103122,25,28
1649107202,46,65
1649109122,23,15
1649111283,15,23
1649113206,14,23
1649115362,34,22
1649119441,27,25
1649123282,55,37
1649127122,49,41
1649130961,53,52
1649132882,40,45
1649137922,47,36
1649141762,33,45
1649146802,38,52
1649148721,39,29
1649152562,31,29
