DateTime,AddedIPs,RemovedIPs
1648145145,1,0
1648145441,4,0
1648148741,1,0
1648149342,2,0
1648150841,1,0
1648153540,0,1
1648155039,1,0
1648155940,1,0
1648158037,1,0
1648159539,1,0
1648160139,3,0
1648161640,1,0
1648163740,1,0
1648165237,1,0
1648167037,3,0
1648170641,2,0
1648173944,3,0
1648174540,1,0
1648176043,3,0
1648177542,2,0
1648188940,1,0
1648191938,1,0
1648192541,1,1
1648196441,0,1
1648196741,0,2
1648197340,9,3
1648199438,1,0
1648201543,0,1
1648203040,1,0
1648216240,6,0
1648217438,1,0
1648223440,0,28
1648223737,0,38
1648224047,0,41
1648224343,1,21
1648228239,3,0
1648231540,1,0
1648232141,2,0
1648233938,0,1
1648235442,3,0
1648235740,1,0
1648239039,4,0
1648242641,3,0
1648246238,4,0
1648248040,0,6
1648248339,0,1
1648249839,9,0
1648253438,3,0
1648257040,5,0
1648260638,8,0
1648263938,3,0
1648264238,2,0
1648267836,5,0
1648271439,4,0
1648278637,2,0
1648281938,1,0
1648282538,1,0
1648283439,1,0
1648285537,1,0
1648286139,2,0
1648289139,1,0
1648292743,2,0
1648293338,2,0
1648296341,2,0
1648299943,1,0
1648300541,2,0
1648301741,0,1
1648303542,1,0
1648304139,1,0
1648307143,2,0
1648307739,4,0
1648311042,2,0
1648314339,1,0
1648314641,4,0
1648317939,1,1
1648318240,6,0
1648321540,3,0
1648321843,3,0
1648325741,2,0
1648329040,5,0
1648332342,2,0
1648335943,2,0
1648339837,4,0
1648343136,2,0
1648343738,4,0
1648347037,10,0
1648350636,4,0
1648354237,7,0
1648355439,1,0
1648357539,1,0
1648358141,2,0
1648361140,3,0
1648361741,3,0
1648364742,5,0
1648365042,3,0
1648368339,1,0
1648368943,3,0
1648371939,2,0
1648372239,5,0
1648372843,1,0
1648375538,1,0
1648379145,3,0
1648379440,4,0
1648383041,1,0
1648389945,1,0
1648393546,1,0
1648393842,1,0
1648395943,1,0
1648401034,1,0
1648405238,1,0
1648407938,1,0
1648408541,4,0
1648411841,7,0
1648415439,4,0
1648419039,1,0
1648419342,0,1
1648419942,0,1
1648420537,0,3
1648422942,2,0
1648426237,1,0
1648429836,5,0
1648433142,1,0
1648433438,2,0
1648436739,1,0
1648437338,2,0
1648440341,1,0
1648443943,1,0
1648444542,2,0
1648445442,1,0
1648454738,1,0
1648458641,1,0
1648461941,1,0
1648462240,4,0
1648465542,1,0
1648465843,2,0
1648469440,1,0
1648471541,0,11
1648471842,0,13
1648473039,2,0
1648478417,1,1058707
1648479038,1058707,1
1648479942,1,0
1648482639,1,0
1648483543,1,0
1648484140,1,1
1648487140,3,0
1648491343,2,0
1648494942,1,0
1648497938,2,1
1648498538,1,0
1648501839,3,0
1648533038,0,5
1648544120,1,1237610
1648544443,1237610,1
1648555538,0,1
1648573539,1,0
1648574139,2,0
1648577144,1,0
1648577739,1,0
1648580136,0,1
1648580741,1,0
1648581343,3,0
1648581940,1,0
1648584339,1,0
1648584641,1,0
1648585240,1,0
1648587938,2,0
1648591840,2,0
1648593641,1,0
1648594537,1,0
1648595143,1,1
1648597238,1,0
1648599041,3,0
1648602640,2,0
1648604740,1,0
1648606239,10,0
1648608038,0,1
1648609837,5,0
1648613143,1,0
1648613438,5,0
1648615238,1,0
1648617037,3,0
1648620643,2,0
1648622441,1,0
1648624239,5,0
1648627837,3,0
1648631437,1,0
1648633838,1,0
1648635040,3,0
1648638639,5,0
1648640441,1,0
1648642238,4,0
1648642842,1,0
1648643138,0,3
1648643738,7,0
1648645240,3,0
1648645838,3,1
1648646138,0,1
1648649144,2,0
1648649440,4,0
1648652742,3,0
1648653340,1,0
1648654841,1,0
1648655737,1,0
1648659943,2,0
1648660239,1,0
1648660840,1,0
1648662041,1,0
1648663538,2,0
1648667140,3,0
1648669238,1,0
1648670738,3,0
1648671037,2,0
1648672838,1,0
1648674338,2,0
1648674641,1,0
1648678237,1,0
1648680038,1,0
1648681839,5,0
1648683637,1,0
1648685138,1,0
1648689037,5,0
1648689641,1,0
1648692639,8,0
1648695336,0,1
1648695937,1,0
1648696540,4,0
1648698340,0,1
1648699839,4,0
1648703438,5,0
1648705238,2,0
1648707039,3,0
1648708839,1,0
1648710642,7,0
1648714237,1,0
1648717840,1,0
1648721438,2,0
1648722038,1,0
1648725037,3,0
1648725940,1,0
1648726840,1,0
1648727737,1,0
1648728638,2,0
1648732240,6,13
1648732539,0,3
1648732839,0,12
1648733443,0,6
1648734637,0,9
1648735537,1,0
1648735840,1,0
1648737641,1,0
1648739143,3,0
1648739742,4,0
1648742743,1,0
1648743344,1,0
1648746642,1,0
1648749938,1,0
1648750542,1,0
1648753538,1,0
1648753840,1,0
1648755639,2,0
1648758940,1,0
1648759240,1,0
1648760743,2,0
1648761040,2,0
1648762839,2,0
1648764342,4,0
1648764939,2,0
1648766740,0,5
1648767338,0,1
1648767643,0,7
1648768238,1,0
1648771838,4,0
1648773640,1,0
1648775436,3,0
1648777837,1,0
1648779039,4,0
1648780840,2,0
1648782637,2,0
1648789538,2,0
1648793440,2,0
1648795239,1,0
1648797039,22,2
1648797341,1,0
1648798538,3,0
1648798838,1,0
1648800638,2,0
1648802741,0,1
1648804239,1,0
1648811139,5,0
1648811742,4,0
1648814741,3,0
1648815341,2,0
1648816840,1,0
1648818939,2,0
1648821942,1,0
1648822542,3,0
1648825546,4,0
1648825837,4,0
1648829438,5,0
1648833037,10,0
1648834841,1,0
1648836638,1,0
1648839939,3,0
1648840240,1,0
1648842340,2,0
1648843542,1,0
1648847437,5,0
1648849239,2,0
1648850743,1,0
1648851041,2,0
1648852839,2,0
1648854637,3,0
1648856436,1,0
1648858243,3,0
1648858840,1,0
1648861841,2,0
1648862739,1,0
1648863638,2,0
1648865142,3,0
1648865739,1,0
1648867238,1,0
1648868739,1,0
1648869039,1,0
1648872344,1,0
1648875944,2,0
1648876236,4,0
1648879541,1,0
1648879839,4,0
1648883138,2,0
1648883739,2,0
1648885241,1,0
1648887040,3,0
1648888840,2,0
1648890639,2,0
1648894239,3,0
1648897539,1,0
1648898138,2,0
1648901142,1,0
1648902039,1,0
1648903242,1,0
1648904739,4,0
1648905339,1,0
1648906837,1,0
1648910442,1,0
1648912237,3,0
1648915541,1,0
1648919140,3,0
1648919442,1,0
1648923038,1,0
1648926638,5,0
1648929940,1,0
1648930242,2,0
1648933840,2,0
1648937144,1,0
1648937439,2,0
1648940739,1,0
1648944338,1,0
1648945238,1,0
1648947940,2,0
1648951544,2,0
1648951840,2,0
1648953944,2,0
1648955440,9,0
1648959037,2,0
1648959939,1,0
1648960841,1,0
1648962638,2,0
1648964140,1,0
1648964439,1,0
1648966238,2,0
1648969842,2,0
1648970439,1,0
1648973440,3,0
1648974039,1,0
1648976740,1,0
1648977338,3,0
1648980638,1,0
1648983941,1,0
1648984237,1,0
1648987840,1,0
1648991139,3,0
1648991442,3,0
1648991745,0,1
1648992041,1,0
1648993239,1,0
1648994743,1,0
1648995039,3,0
1648998042,0,1
1648998636,0,1
1649000439,2,0
1649002238,1,0
1649005841,2,0
1649009143,2,0
1649009439,1,0
1649013039,2,0
1649016638,1,0
1649017539,0,1
1649018439,1,0
1649020238,4,0
1649022039,1,0
1649023837,6,0
1649027437,6,0
1649031036,7,0
1649034636,2,0
1649036738,1,0
1649037940,6,0
1649038241,6,0
1649041541,2,0
1649042141,1,0
1649045137,1,0
1649045741,2,0
1649048739,1,0
1649049041,7,0
1649051736,0,2
1649052340,2,0
1649052937,1,0
1649056242,1,0
1649059841,5,0
1649060740,0,2
1649061041,0,2
1649061642,2,0
1649062239,13,0
1649063441,1,0
