DateTime,AddedIPs,RemovedIPs
1637938240,0,256
1637945822,512,0
1637954841,0,512
1637959342,0,256
1637972837,256,0
1638024697,512,0
1638028621,0,512
1638042139,256,0
1638050221,256,0
1638062843,256,0
1638111092,512,256
1638115020,0,256
1638124039,0,256
1638137543,256,0
1638145644,0,256
1638197392,512,1024
1638201420,256,0
1638219014,0,256
1638277939,0,256
1638282436,1280,0
1638286920,0,256
1638295020,0,256
1638316421,512,0
1638364336,256,768
1638385940,0,256
1638395383,512,0
1638399419,0,256
1638447119,0,256
1638456146,0,256
1638460298,512,0
1638478205,0,256
1638539580,1024,0
1638547937,0,512
1638557359,0,256
1638565941,256,0
1638574944,0,256
1638579011,0,256
1638622619,0,768
1638627118,768,0
1638640202,512,0
1638661318,256,0
1638664918,0,256
1638712215,0,512
1638743234,256,0
1638755818,0,256
1638799935,768,0
1638808036,0,512
1638812535,256,0
1638881817,0,512
1638890836,512,256
1638899606,256,0
1638903417,0,512
1638907939,0,256
1638928617,256,0
1638971817,0,256
1638976334,512,0
1638984436,256,256
1639008742,256,0
1639013234,0,256
1639061492,512,256
1639065416,256,512
1639073537,256,0
1639077137,0,256
1639086116,0,256
1639102316,256,0
1639144616,1024,512
1639148216,0,256
1639152736,256,0
1639156336,0,256
1639165964,512,0
1639187581,0,512
1639226516,0,512
1639234634,1536,0
1639239134,0,256
1639243636,256,0
1639252412,256,512
1639260738,256,0
1639320115,0,1536
1639324291,768,0
1639328215,0,256
1639345316,0,256
1639348915,0,256
1639406532,512,768
1639418215,256,0
1639426336,256,0
1639492032,256,768
1639495633,256,0
1639504348,256,0
1639511815,256,0
1639575745,0,768
1639579908,768,0
1639596437,256,256
1639613540,0,256
1639617141,0,256
1639621641,256,0
1639663041,0,768
1639672032,512,0
1639676532,256,256
1639681013,0,256
1639697236,256,0
1639705313,256,256
1639753930,512,0
1639757530,0,512
1639762031,256,256
1639778213,256,0
1639791713,256,0
1639828613,1280,0
1639836713,256,0
1639840331,0,768
1639853562,0,256
1639869139,0,256
1639914655,0,1280
1639931241,0,256
1639935732,768,0
1639943813,0,256
1639951936,256,256
1640001413,768,0
1640022133,0,768
1640026153,256,0
1640087480,0,256
1640091412,1024,0
1640103132,256,256
1640106733,0,256
1640131938,0,256
1640136439,0,256
1640176939,0,512
1640181091,0,256
1640184470,0,256
1640188611,0,256
1640193128,768,0
1640197630,256,0
1640201230,512,0
1640206340,256,0
1640277726,1536,512
1640281931,0,256
1640285811,0,512
1640298428,256,0
1640306930,0,256
1640357311,512,0
1640361410,256,1280
1640365026,0,256
1640369526,256,0
1640382110,256,0
1640439711,0,1024
1640443718,768,0
1640464910,0,256
1640526517,0,1024
1640530610,256,0
1640534210,256,0
1640547972,256,0
1640563928,256,0
1640614323,512,512
1640643128,256,0
1640700723,256,512
1640708825,256,0
1640713325,0,256
1640717321,256,0
1640720929,256,0
1640729527,256,0
1640734928,256,0
1640785330,0,768
1640789375,256,0
1640793408,0,256
1640797009,0,256
1640805125,0,256
1640818028,0,256
1640871708,0,256
1640875766,512,0
1640887926,0,256
1640896026,256,0
1640961708,0,256
1640994609,256,0
1641002208,0,256
1641051729,0,256
1641055730,512,0
1641059807,256,0
1641076925,0,256
1641088607,256,0
1641139007,0,768
1641159724,256,0
1641217714,0,256
1641221313,768,0
1641238023,0,256
1641246124,0,256
1641304217,256,512
1641317222,256,0
1641335224,256,0
1641391927,0,256
1641403627,0,256
1641412150,256,0
1641419806,0,256
1641431523,0,256
1641471118,1280,0
1641495405,0,256
1641507123,256,0
1641556258,0,1024
1641563805,768,0
1641576421,0,256
1641592605,0,256
1641648427,0,512
1641653459,1024,0
1641657405,512,256
1641736605,0,768
1641740218,512,0
1641749219,0,256
1641761374,0,256
1641824818,512,0
1641836519,256,0
1641859924,256,0
1641909403,256,0
1641913019,0,512
1641916604,256,0
1641921120,0,256
1641932822,0,256
1641993125,0,768
1642009928,512,0
1642030023,256,0
1642086717,512,512
1642094819,0,512
1642114622,0,256
1642171319,512,256
1642183002,256,0
1642191123,256,0
1642202826,256,0
1642255001,256,0
1642271222,0,512
1642274824,0,256
1642279324,256,0
1642286501,0,256
1642334201,512,0
1642338721,0,256
1642384601,0,256
1642420601,0,512
1642434122,256,0
1642442201,256,256
1642449400,0,256
1642507900,512,0
1642532201,0,256
1642544830,0,256
1642549331,256,0
1642557093,256,0
1642589800,0,256
1642606022,512,0
1642614100,0,256
1642642029,256,256
1642687930,0,512
1642692420,512,0
1642700522,256,0
1642708338,256,0
1642716725,256,0
1642720326,0,256
1642776999,256,512
1642788721,256,0
1642793222,0,256
1642809399,0,256
1642813027,0,256
1642858018,512,0
1642861620,0,512
1642881398,256,0
1642942599,0,512
1642951617,256,0
1642959720,256,0
1642964198,0,256
1642967798,256,0
1642972323,0,256
1643038917,512,0
1643054257,0,256
1643063224,0,256
1643067726,0,256
1643119916,768,0
1643128918,0,256
1643132518,512,0
1643206315,512,1024
1643218918,0,512
1643241609,256,0
1643290924,0,256
1643299048,512,0
1643311618,0,256
1643326921,256,0
1643335896,0,256
1643385415,512,512
1643400717,256,0
1643405219,256,0
1643461913,256,0
1643470015,0,256
1643489905,0,512
1643497895,0,256
1643506023,256,0
1643546524,0,256
1643551006,512,0
1643578895,256,0
1643591523,0,256
1643636523,0,512
1643640113,256,0
1643644595,0,256
1643664419,256,0
1643725614,512,0
1643730114,256,256
1643749919,0,256
1643754420,256,0
1643805722,0,512
1643810216,512,256
1643818294,256,0
1643821916,0,256
1643842954,0,256
1643867727,256,0
1643895724,0,256
1643911089,0,256
1643924519,0,256
1643952424,0,256
1643984813,512,0
1644069392,0,256
1644072992,512,0
1644166592,0,256
1644171110,256,0
1644195392,0,256
1644231391,512,0
1644244011,256,0
1644263819,256,0
1644276419,256,0
1644316921,0,512
1644320491,0,256
1644328591,256,256
1644341213,256,0
1644357391,0,256
1644361918,0,256
1644410491,256,512
1644414914,256,0
1644451096,256,0
1644499622,0,512
1644504110,256,256
1644515790,256,0
1644540119,0,256
1644601311,0,256
1644609408,0,256
1644622917,256,0
1644679683,512,0
1644687711,256,0
1644765109,0,512
1644773211,256,0
1644843388,0,256
1644846989,256,0
1644856010,256,0
1644860511,256,0
1644872188,0,256
1644928907,512,256
1644944239,0,256
1644952313,0,256
1644968518,256,0
1644981119,0,256
1645021608,0,256
1645054916,0,256
1645113387,768,0
1645122410,256,0
1645193506,512,0
1645197107,0,768
1645205209,0,256
1645216912,0,256
1645278994,512,256
1645299710,0,256
1645362715,0,512
1645367198,1024,0
1645387011,512,0
1645448185,0,512
1645452704,512,0
1645476985,0,256
1645481485,0,256
1645494113,256,0
1645540004,0,256
1645543606,256,0
1645576013,256,0
1645580514,0,256
1645624585,256,512
1645628185,0,256
1645632705,256,0
1645718334,0,256
1645731708,256,0
1645738910,0,256
1645800103,256,256
1645804623,256,0
1645820809,0,256
1645885614,0,256
1645890084,256,0
1645897305,256,0
1645905494,256,256
1645926084,256,0
1645970202,256,0
1645973818,0,256
1645990005,0,256
1646006307,0,256
1646057501,512,0
1646062002,256,0
1646073704,0,256
1646137611,0,512
1646145702,256,256
1646165508,256,0
1646181711,0,256
1646230300,768,256
1646251006,0,256
1646316699,256,0
1646321201,256,0
1646329302,512,0
1646349106,0,256
1646361708,256,0
1646369781,0,256
1646403100,256,512
1646406681,0,256
1646414803,256,256
1646439082,256,256
1646486809,0,256
1646491300,256,0
1646510436,256,0
1646514680,0,256
1646522806,256,256
1646527281,0,256
1646577699,256,512
1646659598,512,0
1646675804,0,256
1646683905,256,0
1646741479,0,256
1646749610,0,256
1646753199,768,256
1646782006,0,256
1646837951,256,256
1646845900,0,256
1646923298,512,512
1646943102,256,256
1647005207,0,256
1647008797,512,0
1647020499,256,0
1647093483,0,512
1647097878,256,256
1647114100,0,256
1647134805,256,0
1647178897,256,0
1647183399,256,0
1647212209,256,0
1647219732,256,0
1647263477,0,768
1647267078,256,256
1647304009,256,0
1647353477,0,256
1647357077,256,0
1647361598,0,512
