DateTime,AddedIPs,RemovedIPs
1641364808,27,13
1641373218,1690,1553
1641400087,350,107
1641426967,15,26
1641428651,345,312
1641438725,15,29
1641446405,39,29
1641454084,16,34
1641459620,1809,2014
1641512409,20,16
1641520812,357,317
1641523927,32,0
1641531849,36,30
1641539535,14,14
1641546020,2096,1611
1641599049,19,35
1641610817,16,31
1641612008,352,297
1641618728,36,54
1641626406,8,11
1641632421,1905,1396
1641684009,17,0
1641695526,11,0
1641703482,358,303
1641707527,26,32
1641711366,11,11
1641718821,1627,1477
1641769690,14,17
1641781446,18,18
1641793205,37,0
1641795154,368,292
1641797046,10,5
1641805220,1642,1828
1641858728,12,21
1641870249,15,29
1641878166,29,28
1641885847,30,11
1641887051,249,200
1641887556,109,109
1641891620,1867,1698
1641944172,16,20
1641955928,23,0
1641963617,32,33
1641971525,15,17
1641978020,1968,2462
1641979221,358,302
1642030327,25,17
1642042086,16,22
1642049768,34,24
1642057927,12,25
1642064418,1882,1558
1642071647,357,341
1642116247,20,24
1642127771,25,12
1642130651,363,0
1642139527,42,61
1642143367,29,4
1642150823,2158,1543
1642205288,15,33
1642212969,19,26
1642222329,375,299
1642224727,36,0
1642228809,15,11
1642237217,1922,1359
1642291233,32,23
1642302968,20,33
1642310651,36,36
1642314249,362,277
1642323619,1466,1644
1642349047,11,13
1642376171,15,0
1642387927,32,0
1642395621,34,23
1642406440,384,304
1642410020,1510,1795
1642430647,6,22
1642461605,20,23
1642473124,19,9
1642484646,23,61
1642486594,372,324
1642496420,1938,1550
1642515847,18,9
1642550888,23,46
1642558568,23,16
1642570328,39,29
1642579218,363,278
1642582818,2083,1541
1642605124,9,22
1642636567,21,32
1642648328,14,35
1642656006,41,0
1642669221,2062,1643
1642671616,356,299
1642691047,24,27
1642721770,26,0
1642733288,22,0
1642740966,27,29
1642755621,2248,1489
1642764256,341,297
1642776246,14,9
1642806969,39,27
1642818729,15,13
1642830248,30,69
1642842019,2076,1473
1642856897,388,615
1642861449,7,11
1642893126,19,30
1642904646,18,13
1642916410,24,38
1642928421,1558,1521
1642948807,386,276
1642950965,11,13
1642982167,16,42
1642993925,23,39
1643001606,38,25
1643014820,1679,2108
1643033770,10,9
1643040971,373,266
1643069530,32,23
1643077204,21,0
1643088726,28,25
1643101221,2387,1756
1643123767,9,9
1643132919,398,301
1643154727,14,20
1643166246,33,29
1643174166,24,0
1643184018,1869,1880
1643208725,13,14
1643224807,378,282
1643239690,21,0
1643251449,22,17
1643259367,27,30
1643270421,1842,2137
1643294889,10,17
1643318684,386,290
1643325849,13,26
1643337606,35,0
1643345529,33,22
1643356820,1741,1908
1643380331,16,19
1643410331,388,295
1643411526,15,19
1643423286,23,10
1643434805,24,71
1643443221,1852,2362
1643465771,12,7
1643501056,20,37
1643501797,386,281
1643508971,19,12
1643520490,34,38
1643526020,1301,1371
1643555528,18,0
1643586735,43,0
1643594410,392,305
1643598247,26,20
1643606169,34,0
1643612419,1233,1890
1643641746,8,19
1643673129,21,26
1643685126,24,36
1643686364,250,217
1643686807,125,98
1643692813,37,35
1643698821,1473,1844
1643728219,11,5
1643759528,23,23
1643771286,35,0
1643778972,379,276
1643779448,31,32
1643785220,1504,1846
1643814246,12,16
1643845448,34,15
1643856730,26,18
1643864414,33,35
1643870169,370,543
1643871621,1534,1925
1643899211,5,18
1643930706,19,48
1643942172,31,27
1643953930,21,65
1643958018,1568,1735
1643962090,370,838
1643985126,6,25
1644030247,26,0
1644031449,37,19
1644039368,37,39
1644044418,1482,1602
1644054012,362,602
1644072965,7,21
1644115687,21,15
1644116168,19,23
1644123847,38,0
1644130821,1388,1369
1644145936,391,299
1644160083,8,8
1644201605,23,23
1644202820,34,48
1644209529,39,36
1644217220,1421,1929
1644238358,398,317
1644246590,10,9
1644287528,40,24
1644289214,29,12
1644299049,32,38
1644303618,2010,2078
1644330271,248,211
1644330494,121,95
1644331444,12,15
1644372970,28,23
1644373928,30,18
1644384966,34,27
1644390021,2135,1810
1644416646,14,17
1644422441,383,295
1644459369,55,19
1644471368,36,70
1644476420,2093,1740
1644506405,14,21
1644514332,391,329
1644545529,23,19
1644549369,38,42
1644557530,26,37
1644559220,1910,1726
1644589210,18,16
1644606504,250,221
1644607006,134,124
1644632652,50,25
1644644171,34,35
1644645618,1968,1592
1644675609,10,20
1644699654,384,328
1644718087,31,25
1644722170,25,50
1644729850,26,0
1644765131,1628,1495
1644792491,250,222
1644792763,132,127
1644804728,22,26
1644808566,31,18
1644814822,1405,1982
1644816248,29,39
1644851528,11,19
1644852784,373,337
1644894011,55,27
1644901932,1844,2262
1644938118,10,0
1644947084,383,316
1644977528,23,23
1644981366,34,59
1644989113,1908,2020
1645024825,9,17
1645041505,369,320
1645063450,40,30
1645067284,22,21
1645074018,1890,1903
1645075450,27,0
1645107537,10,0
1645136675,366,296
1645149852,20,27
1645154110,35,35
1645160420,1816,1791
1645162113,27,25
1645194785,12,5
1645230774,378,287
1645237711,55,18
1645246817,1780,1598
1645249612,28,82
1645281172,10,17
1645323608,46,51
1645324137,355,292
1645333220,1472,1479
1645334895,25,29
1645370429,11,23
1645409865,57,66
1645417242,351,300
1645419619,1356,2074
1645421771,40,0
1645454891,5,8
1645498332,56,73
1645506029,33,38
1645511781,1968,2378
1645540809,9,0
1645583532,47,20
1645592418,1676,1799
1645595286,37,75
1645604407,346,341
1645626739,14,21
1645669928,49,78
1645678820,1984,1780
1645681690,27,29
1645697291,347,313
1645712888,13,0
1645755131,20,10
1645758968,30,26
1645765218,1872,1809
1645766648,25,27
1645789727,359,345
1645801454,11,27
1645841056,26,23
1645844888,21,17
1645851621,1849,1639
1645852809,27,27
1645882366,363,331
1645887851,13,13
1645930333,38,53
1645938032,35,33
1645973048,1448,1510
1645974735,352,337
1646016013,45,34
1646023688,23,0
1646024419,1343,1793
1646058485,10,18
1646067158,368,312
1646100973,45,27
1646107221,1535,2186
1646112487,30,27
1646147288,17,0
1646159563,359,313
1646189772,50,62
1646193618,1915,1942
1646197450,34,32
1646232726,16,8
1646252207,367,325
1646275691,47,58
1646280021,2041,2200
1646283367,29,35
1646318411,18,11
1646344570,354,336
1646360888,50,49
1646366418,1588,1919
1646372648,28,75
1646404085,26,13
1646436516,377,331
1646447050,50,71
1646452821,1692,1731
1646458807,33,31
1646490485,10,9
1646529376,379,325
1646533451,58,46
1646539221,1420,1670
1646544972,32,0
1646579769,13,20
1646618405,22,0
1646622040,368,343
1646622491,23,58
1646625622,1425,2107
1646630065,25,23
1646664968,11,6
1646704898,25,33
1646708890,23,21
1646712018,2105,1772
1646713238,247,218
1646713688,135,120
1646716566,25,72
1646751613,11,0
1646794092,59,43
1646794819,1762,1749
1646801770,32,39
1646805877,372,336
1646837049,13,6
1646880249,41,64
1646881221,2075,2143
1646887927,24,0
1646898035,377,368
1646922967,15,6
1646965452,65,61
1646967621,1756,2063
1646977207,21,63
1646990168,379,314
1647012006,9,25
1647050887,32,0
1647054973,1904,1567
1647062651,39,0
1647082568,375,312
1647097930,7,0
1647136815,23,26
1647140648,17,0
1647148327,1530,1449
1647174492,367,327
1647181685,10,29
1647223219,1337,2253
1647225847,43,92
1647233529,26,20
1647265689,363,315
1647270249,9,11
1647309619,1851,2238
1647312967,56,26
1647320891,30,30
1647355685,13,0
1647357850,336,322
1647396020,1491,1946
1647399611,39,39
1647407526,27,30
1647442811,9,12
1647450493,371,681
1647482421,2057,2226
1647485527,59,32
1647493206,33,32
1647528246,9,9
1647542410,359,350
1647568820,1491,2014
1647570726,56,72
1647582485,23,60
1647614170,9,15
1647635769,352,319
1647651619,1274,1611
1647657374,47,70
1647669126,15,30
1647700327,18,13
1647728409,364,0
1647738021,1164,1735
1647743052,39,35
1647754812,28,29
1647789604,4,5
1647820809,350,297
1647824419,1151,2406
1647828487,23,0
1647832325,31,52
1647840248,29,0
1647873128,9,0
1647910821,2245,2173
1647913212,345,301
1647914894,21,25
1647918723,14,18
1647926405,26,29
1647961926,15,13
1647997218,1488,2155
1648004165,49,85
1648005151,354,308
1648011848,35,25
1648047365,17,12
1648083620,1434,1802
1648089125,56,0
1648097070,349,307
1648100645,35,69
1648132804,12,0
1648170019,1544,2166
1648174568,50,53
1648186087,26,0
1648188508,247,212
1648188970,122,95
1648222329,9,19
1648256419,1656,2149
1648260247,23,14
1648264083,25,43
1648271763,32,37
1648280168,367,298
1648308247,8,11
1648342818,1277,1929
1648350006,65,43
1648357683,21,27
1648371132,372,318
1648393448,9,0
1648429221,1227,2099
1648436167,47,54
1648443849,26,22
1648462831,330,279
1648478645,12,10
1648515618,1625,2208
1648521126,57,17
1648532646,28,55
1648555215,351,304
1648567207,10,17
1648602019,1741,2164
1648606325,26,16
1648610165,44,47
1648618032,34,28
1648647154,372,320
1648653367,15,12
1648688419,1765,2413
1648692248,28,17
1648696086,23,16
1648703766,29,0
1648738564,15,0
1648740030,366,318
1648774821,1908,1763
1648780811,54,25
1648792330,20,55
1648823525,21,16
1648832168,368,318
