DateTime,AddedIPs,RemovedIPs
1648647722,2,0
1648648323,2,0
1648650123,1,37
1648651323,3,5
1648652404,29,52
1648652523,4,3
1648654323,53,30
1648655522,1,2
1648656242,32,29
1648657322,1,1
1648659723,3,4
1648660922,8,0
1648662002,18,30
1648663322,0,2
1648664523,3,0
1648665842,27,41
1648666322,2,4
1648668122,2,0
1648669322,4,9
1648669682,43,29
1648669922,0,1
1648671122,3,15
1648671722,1,0
1648672323,1,0
1648673521,18,17
1648674123,0,1
1648676522,1,1
1648677361,21,30
1648677722,6,0
1648678922,1,2
1648680122,0,1
1648681442,30,22
1648682522,3,14
1648683362,33,24
1648683722,2,2
1648684322,1,0
1648684922,0,32
1648685523,8,0
1648686123,0,6
1648686722,0,2
1648687202,26,18
1648687323,1,11
1648688523,1,2
1648689722,1,0
1648691042,52,39
1648692122,4,0
1648693323,1,6
1648693923,1,0
1648694882,27,41
1648695722,1,7
1648696322,0,1
1648696922,1,1
1648700523,0,3
1648701122,78,90
1648701722,2,7
1648702922,1,4
1648704122,9,0
1648704961,51,35
1648705322,3,4
1648706523,3,6
1648707123,0,2
1648707722,1,0
1648708923,7,7
1648710122,5,4
1648711442,36,30
1648711923,4,0
1648713363,11,29
1648714322,4,2
1648714922,4,5
1648716122,2,4
1648717228,27,26
1648717322,7,0
1648717922,5,1
1648718522,1,4
1648719363,16,38
1648721522,3,9
1648722122,2,4
1648723442,30,42
1648723652,2,3
1648724522,4,0
1648725722,11,0
1648726922,1,1
1648727522,34,22
1648728122,3,2
1648729322,4,3
1648730522,3,2
1648731362,28,23
1648731723,1,2
1648732922,1,3
1648733522,23,25
1648734123,1,17
1648734451,2,0
1648735322,8,0
1648736522,0,1
1648737362,24,18
1648737722,2,0
1648738322,3,0
1648739522,0,1
1648740122,2,2
1648741202,27,23
1648741322,0,8
1648742523,3,0
1648743723,1,0
1648744322,0,1
1648744922,1,0
1648745522,17,30
1648746122,1,0
1648747322,2,1
1648748523,5,1
1648749123,1,0
1648749362,16,20
1648749723,2,0
1648750323,1,0
1648751522,2,3
1648752122,6,0
1648752722,2,0
1648753682,28,24
1648754522,3,1
1648755123,0,1
1648755842,29,28
1648756322,2,0
1648757522,3,0
1648758122,4,0
1648758723,2,1
1648759322,2,0
1648759682,18,22
1648759923,1,2
1648760523,1,0
1648761123,13,0
1648761722,1,0
1648762922,9,12
1648763522,24,23
1648764122,4,3
1648764722,1,0
1648765922,9,0
1648766522,0,1
1648767122,2,0
1648767606,26,22
1648767723,2,1
1648768322,3,0
1648768923,0,2
1648769762,68,36
1648770123,2,0
1648771323,5,0
1648772522,1,0
1648773842,26,22
1648774922,0,1
1648775523,2,3
1648776123,1,3
1648776722,1,0
1648777323,1,1
1648777922,92,41
1648779842,35,36
1648780323,1,0
1648780922,2,1
1648781522,1,0
1648782122,1,0
1648783322,3,0
1648784523,5,2
1648785122,2,0
1648785842,42,46
1648787762,53,50
1648788123,2,2
1648789322,2,7
1648789922,3,0
1648790523,0,2
1648792322,0,1
1648792922,0,2
1648793523,49,30
1648794122,2,0
1648794722,4,0
1648795443,28,17
1648795923,2,0
1648796522,1,1
1648797723,2,1
1648799283,22,30
1648800123,5,0
1648801322,3,1
1648802522,1,4
1648803123,27,43
1648803722,2,0
1648804322,1,0
1648805042,35,37
1648806122,2,0
1648807322,2,1
1648808523,3,5
1648808882,39,19
1648809387,71046,9740
1648809722,4,0
1648812122,1,1
1648812722,36,18
1648814522,2,0
1648815122,1,0
1648815722,3,0
1648816562,23,22
1648816922,1,0
1648817522,3,0
1648818723,7,0
1648820403,24,28
1648820523,5,0
1648821122,1,0
1648822322,9,0
1648822922,1,0
1648824122,3,0
1648824482,37,23
1648825922,1,0
1648826403,23,16
1648829522,1,0
1648830122,7,0
1648832162,17,30
1648832522,1,0
1648833722,2,0
1648834322,1,0
1648836041,26,27
1648836122,2,0
1648838163,25,16
1648842003,18,22
1648842123,1,0
1648842723,3,0
1648843923,2,0
1648844522,4,0
1648845843,14,33
1648846923,1,0
1648848722,1,0
1648849683,23,29
1648849922,2,0
1648851723,2,0
1648853762,25,18
1648856522,1,0
1648857609,35,27
1648860123,3,0
1648860722,25,28
1648861323,3,0
1648861923,1,0
1648863123,1,0
1648864922,1,0
1648866723,42,44
1648867923,1,0
1648868882,36,30
1648870802,38,37
1648871523,2,0
1648872122,1,0
1648873323,3,0
1648873923,1,0
1648874642,50,48
1648876922,2,0
1648878722,33,28
1648880523,1,0
1648882562,32,26
1648884482,24,23
1648886523,1,0
1648887723,1,0
1648888323,22,20
1648890122,1,0
1648892163,16,27
1648892522,1,0
1648893722,6,0
1648896242,22,24
1648896456,3,0
1648897323,3,0
1648898523,1,0
1648900082,21,21
1648903322,6,0
1648903923,32,17
1648905122,2,0
1648907762,17,30
1648908123,3,0
1648908722,6,0
1648909682,50,29
1648911842,26,19
1648912323,6,0
1648912922,3,0
1648913761,15,24
1648914122,2,1
1648915323,1,0
1648915922,2,0
1648916523,1,0
1648917602,19,24
1648917722,3,0
1648918922,2,0
1648920122,3,0
1648920723,1,0
1648921442,23,25
1648922522,5,0
1648923122,11,0
1648924923,2,0
1648925523,21,14
1648926122,1,0
1648926722,1,0
1648927322,2,0
1648929122,3,0
1648929361,17,25
1648930323,3,0
1648933442,26,24
1648934523,1,0
1648935122,1,0
1648935362,20,24
1648936322,1,0
1648937282,26,24
1648938122,2,0
1648939922,1,0
1648941722,1,0
1648943042,37,21
1648944123,1,0
1648947122,21,27
1648947722,2,0
1648950962,45,36
1648951322,0,1
1648952522,1,0
1648953123,1,0
1648955042,83,72
1648956723,2,0
1648957322,3,0
1648960323,8,0
1648961042,37,58
1648961522,1,0
1648963323,1,0
1648964522,1,0
1648964882,48,29
1648965122,1,0
1648965722,3,0
1648966923,1,0
1648967523,2,0
1648968722,1,0
1648969322,1,0
1648970642,39,35
1648971723,4,0
1648972562,22,16
1648972922,8,0
1648974123,7,0
1648974482,16,22
1648974723,1,0
1648975322,2,0
1648975922,3,0
1648976407,19,18
1648977122,6,0
1648977722,1,0
1648978322,18,19
1648980242,12,18
1648981322,1,0
1648983722,1,0
1648985523,1,1
1648986241,32,13
1648987323,1,0
1648990082,20,19
1648990322,1,0
1648990923,1,0
1648991522,1,0
1648993922,17,24
1648996323,1,0
1648996922,1,0
1648997522,2,0
1648997761,23,24
1648998122,1,0
1648998723,2,0
1648999322,7,0
1649000523,2,0
1649001842,19,21
1649002922,2,0
1649003762,31,17
1649004462,3,0
1649005323,2,0
1649007602,13,33
1649008922,5,0
1649011441,23,20
1649013122,1,0
1649014922,2,0
1649015282,24,25
1649016122,2,0
1649017322,7,0
1649019122,19,21
1649019723,1,0
1649021523,1,0
1649022723,3,0
1649023323,1,0
1649024162,19,24
1649026082,25,27
1649028002,27,24
1649028123,2,0
1649029323,1,0
1649029922,60,47
1649030522,1,0
1649031723,13,0
1649032922,1,0
1649034123,1,0
1649035323,1,0
1649035682,27,23
1649036522,7,0
1649037122,1,0
1649037843,50,36
1649038322,1,0
1649039762,31,41
1649041322,2,0
1649043602,41,48
1649045762,49,50
1649046122,1,0
1649047323,1,0
1649048523,1,0
1649050922,3,0
1649051762,47,29
1649052122,1,0
1649053322,4,0
1649054523,1,0
1649055122,2,0
1649056562,27,22
1649058122,2,0
1649058722,19,29
1649059922,4,0
1649060522,3,0
1649061122,1,0
1649061723,1,0
1649062562,25,51
1649062922,1,0
1649064122,5,0
1649065323,1,0
1649066522,1,0
1649067362,41,33
1649067722,2,0
1649068922,1,0
1649069522,47,26
1649070122,1,1
1649071923,1,0
1649073122,1,0
1649074323,2,0
1649074923,2,0
1649075522,28,42
1649076723,2,0
1649077322,7,0
1649078522,1,0
1649079602,27,27
1649080922,5,0
1649082122,2,0
1649082723,1,0
1649083442,23,25
1649083923,2,0
1649085722,1,1
1649086922,0,1
1649087523,19,14
1649089322,2,0
1649090522,1,0
1649091361,19,20
1649091723,1,0
1649093522,20,34
1649095323,1,0
1649095923,2,0
1649096523,1,0
1649097124,1,0
1649097362,9,23
1649097723,1,0
1649098922,1,0
1649100723,2,0
1649101202,27,25
1649103122,26,27
1649105523,1,0
1649106123,5,0
1649107202,43,64
1649107323,1,0
1649107923,1,0
1649109122,23,14
1649111283,14,23
1649112123,8,0
1649113206,14,21
1649113323,2,0
1649115362,41,22
1649115722,4,0
1649116323,2,0
1649116922,3,0
1649118123,3,1
1649119441,26,24
1649120522,1,0
1649121723,2,0
1649123282,55,37
1649123522,2,0
1649124122,2,0
1649124723,5,0
1649127122,49,40
1649129523,1,0
1649130722,0,1
1649130961,53,51
1649131923,2,0
1649132882,39,45
1649133123,1,0
1649134322,2,0
1649134922,1,0
1649135522,0,1
1649136122,2,0
1649137322,1,0
1649137923,46,36
1649138522,1,0
1649141762,33,44
1649142123,1,0
1649146802,37,51
1649148122,1,0
1649148723,39,28
1649149323,1,0
1649149922,4,0
1649151722,1,0
1649152562,31,28
1649152922,5,0
1649154123,6,0
