DateTime,AddedIPs,RemovedIPs
1648524122,3,0
1648526523,2,0
1648528923,1,0
1648530723,1,0
1648531323,3,0
1648531923,2,0
1648533723,2,0
1648534922,3,0
1648537323,2,0
1648537922,2,0
1648538523,2,0
1648540323,2,0
1648540922,2,0
1648542123,1,0
1648543322,1,0
1648544523,3,0
1648545723,2,0
1648546923,9,1
1648547522,2,0
1648547523,1,0
1648548123,1,0
1648549322,1,0
1648552322,4,0
1648554722,1,0
1648555322,1,0
1648555922,1,0
1648557723,4,0
1648558922,1,0
1648560123,1,0
1648563123,2,0
1648563722,1,0
1648565523,3,0
1648568523,6,0
1648571523,3,0
1648572122,1,0
1648573323,3,0
1648575722,4,0
1648579322,2,0
1648580523,1,0
1648581122,1,0
1648581722,2,0
1648582923,2,0
1648583184,6,0
1648584122,1,0
1648585322,7,0
1648585923,2,0
1648587722,1,0
1648590383,3,0
1648590723,3,0
1648596723,1,0
1648597322,2,0
1648599123,2,0
1648600323,2,0
1648600922,10,0
1648602122,1,0
1648602722,1,0
1648603024,4,0
1648603923,5,0
1648605723,4,0
1648606923,2,0
1648607522,2,0
1648608122,1,0
1648608723,1,0
1648609322,2,0
1648610522,1,0
1648611722,2,0
1648615322,3,0
1648617122,3,0
1648618923,1,1
1648619523,3,0
1648620123,11,0
1648621322,1,0
1648623122,1,0
1648627322,20,0
1648627923,1,0
1648628522,4,0
1648629122,10,0
1648630322,1,0
1648631522,1,0
1648632122,1,0
1648633322,3,0
1648634522,8,0
1648635722,4,0
1648636922,1,2
1648638122,1,0
1648639922,0,1
1648640522,1,0
1648642923,2,0
1648643522,2,0
1648644722,1,0
1648645322,1,0
1648646522,1,0
1648647722,2,0
1648648323,2,0
1648650123,1,37
1648651323,3,5
1648652523,4,3
1648654322,0,1
1648655522,1,2
1648656122,1,1
1648657322,1,1
1648659723,3,4
1648660922,8,0
1648663322,0,2
1648664523,3,0
1648665722,1,1
1648666322,2,4
1648668122,2,0
1648669322,4,9
1648669922,0,1
1648671122,3,15
1648671722,1,0
1648672323,1,0
1648674123,0,1
1648676522,1,1
1648677722,6,0
1648678922,1,2
1648680122,0,1
1648681322,1,2
1648682522,3,14
1648683722,2,2
1648684322,1,0
1648684922,0,32
1648685523,8,0
1648686123,0,6
1648686722,0,2
1648687323,1,11
1648688523,1,2
1648689722,1,0
1648690923,2,4
1648692122,4,0
1648693323,1,6
1648693923,1,0
1648695722,1,7
1648696322,0,1
1648696922,1,1
1648700523,0,3
1648701722,2,7
1648702922,1,4
1648704122,9,0
1648705322,3,4
1648706523,3,6
1648707123,0,2
1648707722,1,0
1648708923,7,7
1648710122,5,4
1648711322,2,1
1648711923,4,0
1648713122,0,2
1648714322,4,0
1648714922,4,5
1648716122,2,4
1648716722,7,0
1648717922,5,1
1648718522,1,4
1648721522,3,9
1648722122,2,4
1648723322,2,3
1648724522,4,0
1648725722,11,0
1648726922,1,1
1648728122,3,2
1648729322,4,3
1648730522,3,2
1648731723,1,2
1648732922,1,3
1648734123,1,17
1648734451,2,0
1648735322,8,0
1648736522,0,1
1648737122,2,0
1648738322,3,0
1648739522,0,1
1648740122,2,2
1648741322,0,8
1648742523,3,0
1648743723,1,0
1648744322,0,1
1648744922,1,0
1648746122,1,0
1648747322,2,1
1648748523,5,1
1648749123,1,0
1648749723,2,0
1648750323,1,0
1648751522,2,3
1648752122,6,0
1648752722,2,0
1648753322,1,2
1648754522,3,1
1648755123,0,1
1648755723,3,0
1648756322,2,0
1648757522,3,0
1648758122,4,0
1648758723,2,1
1648759322,2,0
1648759923,1,2
1648760523,1,0
1648761123,13,0
1648761722,1,0
1648762922,9,12
1648763522,7,0
1648764122,4,3
1648764722,1,0
1648765922,9,0
1648766522,0,1
1648767122,2,0
1648767723,2,1
1648768322,3,0
1648768923,0,2
1648769523,2,0
1648770123,2,0
1648771323,5,0
1648772522,1,0
1648773723,4,0
1648774922,0,1
1648775523,2,3
1648776123,1,3
1648776722,1,0
1648777323,1,1
1648777922,1,0
1648779722,3,0
1648780323,1,0
1648780922,2,1
1648781522,1,0
1648782122,1,0
1648783322,3,0
1648784523,5,2
1648785122,2,0
1648785722,2,0
1648788123,2,2
1648789322,2,7
1648789922,3,0
1648790523,0,2
1648792322,0,1
1648792922,0,2
1648793523,0,1
1648794122,2,0
1648794722,4,0
1648795323,0,1
1648795923,2,0
1648796522,1,1
1648797723,2,1
1648798923,1,1
1648800123,5,0
1648801322,3,1
1648802522,1,4
1648803122,1,0
1648803722,1,0
1648804322,1,0
1648804923,2,0
1648806122,2,0
1648807322,2,1
1648808523,3,5
1648809387,71067,9745
1648809722,4,0
1648812122,1,1
1648814522,2,0
1648815122,1,0
1648815722,3,0
1648816922,1,0
1648817522,3,0
1648818723,7,0
1648820523,5,0
1648821122,1,0
1648822322,9,0
1648822922,1,0
1648824122,3,0
1648825922,1,0
1648829522,1,0
1648830122,7,0
1648832522,1,0
1648833722,2,0
1648834322,1,0
1648836122,2,0
1648837922,1,0
1648842123,1,0
1648842723,3,0
1648843923,2,0
1648844522,4,0
1648845723,1,0
1648846923,1,0
1648848722,1,0
1648849922,2,0
1648851723,2,0
1648856522,1,0
1648860123,3,0
1648861323,3,0
1648861923,1,0
1648863123,1,0
1648864922,1,0
1648867923,1,0
1648871523,2,0
1648872122,1,0
1648873323,3,0
1648873923,1,0
1648874522,2,0
1648876922,2,0
1648878722,1,0
1648880523,1,0
1648884123,1,0
1648886523,1,0
1648887723,1,0
1648890122,1,0
1648892522,1,0
1648893722,6,0
1648895523,1,0
1648896456,3,0
1648897323,3,0
1648898523,1,0
1648903322,6,0
1648903923,2,0
1648905122,2,0
1648908123,3,0
1648908722,6,0
1648912323,6,0
1648912922,3,0
1648914122,2,1
1648915323,1,0
1648915922,2,0
1648916523,1,0
1648917722,3,0
1648918922,2,0
1648920122,3,0
1648920723,1,0
1648922522,5,0
1648923122,11,0
1648924923,2,0
1648925523,2,0
1648926122,1,0
1648926722,1,0
1648927322,2,0
1648929122,3,0
1648930323,3,0
1648933323,2,0
1648934523,1,0
1648935122,1,0
1648936322,1,0
1648938122,2,0
1648939922,1,0
1648941722,1,0
1648942923,9,0
1648944123,1,0
1648947722,2,0
1648950722,1,0
1648951322,0,1
1648952522,1,0
1648953123,1,0
1648954922,7,0
1648956723,2,0
1648957322,3,0
1648960323,8,0
1648960922,1,0
1648961522,1,0
1648963323,1,0
1648964522,1,0
1648965122,1,0
1648965722,3,0
1648966923,1,0
1648967523,2,0
1648968722,1,0
1648969322,1,0
1648970522,2,0
1648971723,4,0
1648972922,8,0
1648974123,7,0
1648974723,1,0
1648975322,2,0
1648975922,3,0
1648977122,6,0
1648977722,1,0
1648980122,2,0
1648981322,1,0
1648983722,1,0
1648985523,1,1
1648986122,1,0
1648987323,1,0
1648990322,1,0
1648990923,1,0
1648991522,1,0
1648996323,1,0
1648996922,1,0
1648997522,2,0
1648998122,1,0
1648998723,2,0
1648999322,7,0
1649000523,2,0
1649002922,2,0
1649003522,3,0
1649005323,2,0
1649008922,5,0
1649011322,1,0
1649013122,1,0
1649014922,2,0
1649016122,2,0
1649017322,7,0
1649019723,1,0
1649021523,1,0
1649022723,3,0
1649023323,1,0
1649023923,1,0
1649025723,1,0
1649028123,2,0
1649029323,1,0
1649029922,1,0
1649030522,1,0
1649031723,13,0
1649032922,1,0
1649034123,1,0
1649035323,1,0
1649036522,7,0
1649037122,1,0
1649037722,2,0
1649038322,1,0
1649041322,2,0
1649045523,1,1
1649046122,1,0
1649047323,1,0
1649048523,1,0
1649050922,3,0
1649052122,1,0
1649053322,4,0
1649054523,1,0
1649055122,2,0
1649056323,1,0
1649058122,2,0
1649059922,4,0
1649060522,3,0
1649061122,1,0
1649061723,1,0
1649062922,1,0
1649064122,5,0
1649065323,1,0
1649066522,1,0
1649067722,2,0
1649068922,1,0
1649070122,1,1
1649071923,1,0
1649073122,1,0
1649074323,2,0
1649074923,2,0
1649076723,2,0
1649077322,7,0
1649078522,1,0
1649080922,5,0
1649082122,2,0
1649082723,1,0
1649083323,2,0
1649083923,2,0
1649085722,1,1
1649086922,0,1
1649087523,1,0
1649089322,2,0
1649090522,1,0
1649091723,1,0
1649095323,1,0
1649095923,2,0
1649096523,1,0
1649097124,1,0
1649097723,1,0
1649098922,1,0
1649100723,2,0
1649103122,1,0
1649105523,1,0
1649106123,5,0
1649107323,1,0
1649107923,1,0
1649112123,8,0
1649113323,2,0
1649115123,7,0
1649115722,4,0
1649116323,2,0
1649116922,3,0
1649118123,3,1
1649120522,1,0
1649121723,2,0
1649122923,1,0
1649123522,2,0
1649124122,2,0
1649124723,5,0
1649127122,1,0
1649129523,1,0
1649130722,0,1
1649131923,2,0
1649133123,1,0
1649134322,2,0
1649134922,1,0
1649135522,0,1
1649136122,2,0
1649137322,1,0
1649137923,1,0
1649138522,1,0
1649142123,1,0
1649148122,1,0
1649149323,1,0
1649149922,4,0
1649151722,1,0
1649152922,5,0
1649154123,6,0
