DateTime,AddedIPs,RemovedIPs
1604097606,4947,4947
1604184223,5017,5017
1604270702,4929,4929
1604357220,4771,4771
1604443878,4804,4804
1604530388,5179,5179
1604616867,5404,5404
1604703488,5277,5277
1604789955,5132,5132
1604876403,5091,5091
1604962866,5201,5201
1605049328,5399,5399
1605135792,5266,5266
1605222396,5201,5201
1605308852,5317,5317
1605395293,5264,5264
1605481824,5166,5166
1605568304,5191,5191
1605654722,5007,5007
1605741227,4843,4843
1605827651,4714,4714
1605914102,4435,4435
1606000611,4330,4330
1606087065,4436,4436
1606173492,4465,4465
1606259969,4586,4586
1606346423,4191,4191
1606432942,3048,3048
1606519399,3117,3117
1606606198,2626,2626
1606692603,2357,2357
1606779101,2493,2493
1606865887,2860,2860
1606952386,2692,2692
1607038857,2497,2497
1607125265,2243,2243
1607211781,1931,1931
1607298302,1911,1911
1607384802,1841,1841
1607471242,2119,2119
1607557688,2156,2156
1607644299,1969,1969
1607730823,1898,1898
1607817475,1876,1876
1607903962,2240,2240
1607990404,2003,2003
1608076864,2156,2156
1608163323,2000,2000
1608249818,2030,2030
1608336442,2176,2176
1608422932,2428,2428
1608509379,2370,2370
1608595927,2019,2019
1608682474,1988,1988
1608768903,2047,2047
1608855420,2139,2139
1608941879,2684,2684
1609028287,1897,1897
1609114752,2260,2260
1609201223,2264,2264
1609287720,2074,2074
1609374133,2055,2055
1609460676,2056,2056
1609547403,2079,2079
1609633901,1768,1768
1609720348,429,429
1609806973,3097,3097
1609893568,2000,2000
1609980301,2054,2054
1610066708,2097,2097
1610153166,2173,2173
1610239672,1924,1924
1610326091,2212,2212
1610412571,1972,1972
1610585463,1975,1975
1610672263,1984,1984
1610758729,1628,1628
1610845188,1558,1558
1610931603,1721,1721
1611018070,1828,1828
1611104534,1484,1484
1611191005,1630,1630
1611277453,1695,1695
1611363921,1553,1553
1611450408,1576,1576
1611536843,1814,1814
1611623293,1943,1943
1611709782,1628,1628
1611796234,1676,1676
1611882817,1665,1665
1611969302,1601,1601
1612055793,1599,1599
1612142338,1663,1663
1612228751,1799,1799
1612315207,1734,1734
1612401775,1669,1669
1612488302,1649,1649
1612575002,1771,1771
1612661624,1649,1649
1612748102,1196,1196
1612921502,3124,3124
1613008025,1862,1862
1613094602,1810,1810
1613181303,1894,1894
1613267862,1950,1950
1613354389,2080,2080
1613440805,2203,2203
1613527270,1841,1841
1613613762,1721,1721
1613700343,1475,1475
1613786897,1688,1688
1613873356,1788,1788
1613959807,2239,2239
1614046502,1941,1941
1614133065,1920,1920
1614219603,1786,1786
1614306303,1855,1855
1614392955,1762,1762
1614479403,2568,2568
1614565928,2315,2315
1614652429,1990,1990
1614738847,1836,1836
1614825445,1679,1679
1614912003,2290,2290
1614998702,2293,2293
1615085187,2312,2312
1615171624,2286,2286
1615258180,1998,1998
1615344677,2041,2041
1615431203,2416,2416
1615517703,2467,2467
1615604215,3009,3009
1615690640,3152,3152
1615777127,3196,3196
1615863589,2469,2469
1615950004,2552,2552
1616036472,2373,2373
1616122938,2143,2143
1616209422,2305,2305
1616295873,2361,2361
1616382317,2584,2584
1616468792,2155,2155
1616555403,2141,2141
1616642057,2232,2232
1616728502,2580,2580
1617334494,5556,5556
1618026374,5914,5914
1618112830,2310,2310
1618285802,2942,2942
1618372297,2071,2071
1618458849,1919,1919
1618631808,2671,2671
1618718227,2131,2131
1618804692,1702,1702
1618891150,1407,1407
1618977604,1383,1383
1619064064,1528,1528
1619150530,1562,1562
1619236992,1388,1388
1619323453,1823,1823
1619409903,1960,1960
1619496437,1533,1533
1619582898,1436,1436
1619669378,1392,1392
1619755804,1448,1448
1619842358,1543,1543
1619928810,1902,1902
1620015265,1705,1705
1620101704,2974,2974
1620188402,2355,2355
1620274937,1547,1547
1620361388,1538,1538
1620447902,1498,1498
1620534517,1608,1608
1620621004,1751,1751
1620707479,1425,1425
1620794001,1483,1483
1620880472,1418,1418
1620966902,1460,1460
1621053603,1625,1625
1621140162,1654,1654
1621226623,1722,1722
1621313101,1513,1513
1621399503,1565,1565
1621485991,1576,1576
1621572469,1743,1743
1621658912,2617,2617
1621745357,1900,1900
1621831804,2029,2029
1621918320,1968,1968
1622004827,2125,2125
1622091303,2060,2060
1622177897,2200,2200
1622264404,929,929
1622350863,3326,3326
1622437383,2539,2539
1622523873,2294,2294
1622610302,2198,2198
1622697003,2012,2012
1622783700,1947,1947
1622870105,2008,2008
1622956757,1171,1171
1623043207,2185,2185
1623129760,1801,1801
1623216304,1345,1345
1623302840,1299,1299
1623389403,2115,2115
1623475892,1399,1399
1623562469,1699,1699
1623648903,1753,1753
1623735603,1747,1747
1623822082,1404,1404
1623908531,1398,1398
1623994999,1542,1542
1624081501,1682,1682
1624167990,1484,1484
1624254607,1753,1753
1624341137,1470,1470
1624427703,1305,1305
1624514230,1499,1499
1624600690,1326,1326
1624687201,1892,1892
1624773669,1713,1713
1624860159,1780,1780
1624946613,1759,1759
1625033073,1446,1446
1625119503,1327,1327
1625206202,1517,1517
1625292903,1380,1380
1625379373,1329,1329
1625466003,1449,1449
1625552707,1209,1209
1625639298,1690,1690
1625812287,1770,1770
1625898745,1167,1167
1625985302,1835,1835
1626158407,1652,1652
1626245101,1362,1362
1626331607,1373,1373
1626418202,1495,1495
1626504664,1588,1588
1626591147,1444,1444
1626677707,1551,1551
1626764353,1479,1479
1626850808,1403,1403
1626937293,1292,1292
1627023730,1175,1175
1627110208,1366,1366
1627196731,1613,1613
1627283402,1769,1769
1627370012,1276,1276
1627456502,1321,1321
1627543059,1348,1348
1627629559,1343,1343
1627716179,1817,1817
1627802597,1661,1661
1627889058,1779,1779
1627975502,1218,1218
1628062203,1175,1175
1628148706,1333,1333
1628235158,1317,1317
1628321597,1423,1423
1628408102,1413,1413
1628494731,1872,1872
1628581202,1350,1350
1628667901,1340,1340
1628754395,1370,1370
1628840930,1328,1328
1628927402,1405,1405
1629013882,1333,1333
1629100353,1854,1854
1629186789,1328,1328
1629273302,1383,1383
1629359872,2029,2029
1629446365,1248,1248
1629532803,1290,1290
1629619263,1330,1330
1629705744,1699,1699
1629792262,1553,1553
1629878703,1344,1344
1629965260,1390,1390
1630051762,1434,1434
1630138237,1375,1375
1630224826,1552,1552
1630311302,1807,1807
1630398003,1375,1375
1630484473,2029,2029
1630570944,1572,1572
1630657398,1503,1503
1630743852,1480,1480
1630830303,1715,1715
1630917002,1881,1881
1631003487,1313,1313
1631090087,1651,1651
1631176502,1799,1799
1631263203,1709,1709
1631349859,1424,1424
1631436302,1416,1416
1631522780,1738,1738
1631609406,1334,1334
1631696001,1517,1517
1631782503,1686,1686
1631869199,1932,1932
1631955603,1968,1968
1632042083,2255,2255
1632128619,2475,2475
1632215054,1955,1955
1632301522,1926,1926
1632388203,1937,1937
1632474777,1993,1993
1632561182,2120,2120
1632647703,2403,2403
1632734209,1994,1994
1632820802,1669,1669
1632907288,1849,1849
1632993739,1892,1892
1633080606,2364,2364
1633167307,1810,1810
1633253825,1707,1707
1633340363,1785,1785
1633426802,1422,1422
1633513317,1496,1496
1633599877,1429,1429
1633686302,1483,1483
1633772802,1561,1561
1633859250,1336,1336
1633945707,1776,1776
1634032157,1440,1440
1634118603,1414,1414
1634205067,1543,1543
1634291572,1625,1625
1634377982,1881,1881
1634464503,1855,1855
1634551044,2147,2147
1634637602,1781,1781
1634724082,1849,1849
1634810636,1746,1746
1634897057,1944,1944
1634983707,1957,1957
1635070203,1824,1824
1635156783,2902,2902
1635243303,2290,2290
1635330003,1869,1869
1635416703,1864,1864
1635503402,2208,2208
1635589898,2095,2095
1635676391,2043,2043
1635762902,1630,1630
1635849388,1826,1826
1635935843,1639,1639
1636022331,1632,1632
1636108756,1716,1716
1636195208,2062,2062
1636281839,1894,1894
1636368301,2081,2081
1636454807,1861,1861
1636541224,1881,1881
1636627803,2039,2039
1636714265,1878,1878
1636800731,2306,2306
1636887187,1989,1989
1636973702,2319,2319
1637060403,2041,2041
1637146868,2124,2124
1637233419,2029,2029
1637319903,2437,2437
1637406422,2287,2287
1637493003,1966,1966
1637579702,2498,2498
1637666403,2151,2151
1637752867,2301,2301
1637839502,2226,2226
1637926203,2264,2264
1638012889,2405,2405
1638099427,2252,2252
1638186003,2351,2351
1638272600,2218,2218
1638359101,2232,2232
1638445624,2324,2324
