DateTime,AddedIPs,RemovedIPs
1604390057,522,674
1604476517,674,147
1604562981,147,205
1604649438,205,78
1604735897,78,1106
1604822357,1106,2749
1604908823,2749,232
1604995278,232,209
1605081737,209,66915
1605168204,66915,282
1605254657,282,541
1605341123,541,334
1605427577,334,1369
1605514037,1369,140
1605600497,140,3061
1605686957,3061,664
1605773418,664,1425
1605859880,1425,17315
1605946337,17315,109303
1606032797,109303,110
1606119257,110,117
1606205716,117,610
1606292176,610,1197
1606378637,1197,335
1606465097,335,1138
1606551556,1138,277
1606638018,277,401
1606724477,401,2813
1606810940,2813,65721
1606897404,65721,1778
1606983865,1778,1003
1607070315,1003,379
1607156777,379,112
1607243236,112,589
1607329697,589,1056
1607416169,1056,8117
1607502619,8117,131
1607589081,131,1632
1607675543,1632,1476
1607761997,1476,347
1607848456,347,65928
1607934920,65928,664
1608021377,664,380
1608107836,380,604
1608194296,604,248
1608280766,248,16793
1608367217,16793,1131
1608453680,1131,270
1608540136,270,521
1608626605,521,163
1608713056,163,153
1608799518,153,360
1608885982,360,137
1608972437,137,798
1609058898,798,1934
1609145357,1934,4113
1609231830,4113,610
1609318276,610,486
1609404737,486,4161
1609491206,4161,625
1609577657,625,424
1609664122,424,1074
1609750576,1074,445
1609837037,445,674
1609923496,674,753
1610009961,753,111
1610096421,111,584
1610182911,584,447
1610269336,447,753
1610355799,753,73
1610442265,73,1458
1610528719,1458,154
1610615185,154,115
1610701646,115,66174
1610788107,66174,791
1610874560,791,2461
1610961016,2461,196
1611047484,196,551
1611133946,551,582
1611220398,582,903
1611306863,903,724
1611393317,724,75886
1611479783,75886,1162
1611566239,1162,835
1611652704,835,1357
1611739162,1357,1568
1611825618,44048309,0
1611912081,1568,44048417
1611998538,108,512
1612084997,512,1202
1612171466,1202,19162
1612257927,19162,76
1612344381,76,366
1612430836,366,135
1612517305,135,994
1612603767,994,124
1612690217,124,2452
1612776685,2452,691
1612863137,691,1248
1612949597,1248,458
1613036066,458,662
1613122516,662,912
1613208978,912,1414
1613295437,1414,2772
1613381907,2772,1952
1613468357,1952,676
1613554818,676,1902
1613641284,1902,876
1613727738,876,1210
1613814207,1210,300
1613900662,300,624
1613987118,624,448
1614073584,448,349
1614160045,349,66585
1614246500,66585,541
1614332957,541,385
1614419418,385,1124
1614505879,1124,876
1614592344,876,458
1614678806,458,2985
1614765266,2985,3230
1614851719,3230,67007
1614938177,67007,385
1615024637,385,97
1615111102,97,66013
1615197566,66013,2180
1615284019,2180,8381
1615370478,8381,609
1615456946,609,126
1615543396,126,466
1615629864,466,18046
1615716323,18046,4985
1615802777,4985,4632
1615889245,4632,65879
1615975710,65879,2277
1616062167,2277,435
1616148623,435,238
1616235079,238,250
1616321537,250,758
1616407997,758,205
1616494457,205,185
1616580917,185,66985
1616667378,66985,344
1616753837,344,346
1617359056,346,1212
1618050737,1212,720
1618223658,720,1192
1618483045,1192,786
1618569507,786,1201
1618655967,1201,1150
1618742416,1150,68
1618828877,68,687
1618915338,687,76705
1619001806,76705,144213
1619088260,144213,86
1619174718,86,432
1619261179,432,2392
1619347636,2392,100
1619434099,100,860
1619520555,860,748
1619607026,748,3036
1619693581,3036,404
1619780066,404,176
1619866525,176,66908
1619952977,66908,837
1620039446,837,431
1620125901,431,714
1620212357,714,140
1620298818,140,4541
1620385277,4541,237
1620471746,237,1865
1620558207,1865,353
1620644660,353,1284
1620731116,1284,1141
1620817576,1141,2177
1620904048,2177,66037
1620990505,66037,164
1621076967,164,67243
1621163418,67243,466
1621249878,466,313
1621336336,313,553
1621422798,553,67956
1621509263,67956,1581
1621595723,1581,616
1621682178,616,674
1621768638,674,476
1621855106,476,414
1621941560,414,858
1622028017,858,412
1622114485,412,1609
1622200945,1609,175
1622287405,175,128
1622373866,128,3162
1622460320,3162,118
1622546786,118,1052
1622633237,1052,1064
1622719730,1064,151
1622806166,151,482
1622892617,482,5052
1622979078,5052,469
1623065546,469,128
1623152006,128,72874
1623238463,72874,1734
1623324924,1734,417
1623411381,417,896
1623497847,896,130
1623584297,130,71519
1623670770,71519,1048
1623757220,1048,333
1623843687,333,16777377
1623930137,16777377,68341
1624016605,68341,66594
1624103062,66594,8554
1624189523,8554,1218
1624275987,1218,660091
1624362445,660091,841
1624448905,841,825
1624535357,825,67787
1624621816,67787,760
1624708286,760,67811
1624794746,67811,65788
1624881203,65788,360
1624967658,360,265
1625054126,265,970
1625140586,970,2166
1625227047,2166,392
1625313498,392,4765
1625399958,4765,1977
1625486423,1977,699
1625572885,699,400
1625659346,400,411
1625745796,411,1441
1625918722,1441,249178
1626005184,249178,658
1626091646,658,421
1626178099,421,3362
1626264566,3362,902
1626351030,902,363
1626437479,363,1634
1626523936,1634,172
1626610406,172,821
1626696865,821,729
1626783318,729,66634
1626869786,66634,17149
1626956243,17149,1809
1627042706,1809,1139
1627129166,1139,618
1627215621,618,325
1627302080,325,573
1627388543,573,653
1627475006,653,1231
1627561466,1231,99424
1627647945,99424,1840
1627734379,1840,756
1627820846,756,765
1627907302,765,210
1627993766,210,721278
1628080217,721278,2967
1628166678,2967,430
1628253146,430,384
1628339607,384,627
1628426066,627,493
1628512529,493,444
1628599000,444,1692
1628685441,1692,645
1628771906,645,109
1628858361,109,661
1628944817,661,1630
1629031281,1630,2938
1629117737,2938,329
1629204208,329,65810
1629290657,65810,7732458
1629377119,7732458,3536
1629463587,3536,4806
1629550041,4806,682
1629636500,682,962
1629722966,962,597
1629809430,597,477
1629895886,477,825
1629982346,825,346
1630068806,346,469
1630155266,469,464
1630241720,464,206969
1630328186,206969,1157
1630414641,1157,610
1630501103,610,2234
1630587558,2234,66645
1630674023,66645,813
1630760481,813,361
1630846949,361,66173
1630933416,66173,1641
1631019858,1641,8573
1631106318,8573,438
1631192780,438,625
1631279241,625,410
1631365707,410,685
1631452161,685,66066
1631538630,66066,440
1631625079,440,891
1631711536,891,223
1631797998,223,290
1631884463,290,18489
1631970917,18489,66281
1632057377,66281,66689
1632143837,66689,665
1632230306,665,1048
1632316762,1048,697
1632403217,697,66698
1632489680,66698,1337
1632576146,1337,1164
1632662602,1164,646
1632749067,646,2061
1632835520,2061,413
1632921978,413,969
1633008446,969,847
1633094901,847,310
1633181366,310,529
1633267817,529,259
1633354286,259,1118
1633440742,1118,905
1633527206,905,464
1633613665,464,589
1633700118,589,841
1633786583,841,8482
1633873046,8482,459
1633959505,459,781
1634045961,781,290
1634132417,290,15677
1634218887,15677,65663
1634305338,65663,65866
1634391806,65866,525
1634478265,525,485
1634564717,485,772
1634651177,772,424
1634737643,424,1541
1634824097,1541,2204
1634910557,2204,860
1634997025,860,511
1635083480,511,322
1635169939,322,804
1635256402,804,329084
1635342858,329084,937
