DateTime,AddedIPs,RemovedIPs
1604722327,47,47
1604806807,45,0
1604891525,44,42
1604979847,45,93
1605066248,47,46
1605150726,46,0
1605239048,43,89
1605323765,46,0
1605412084,45,91
1605498486,44,44
1605583446,47,0
1605671765,42,89
1605756249,47,0
1605844810,43,90
1605929285,42,0
1606017615,35,77
1606102324,38,0
1606190886,32,70
1606275606,33,0
1606363937,35,68
1606448405,47,0
1606536728,45,93
1606621208,46,0
1606705926,47,45
1606794252,46,94
1606879206,48,0
1606967525,50,97
1607052003,47,0
1607140565,50,97
1607225050,49,0
1607313365,47,96
1607397848,50,0
1607486164,45,95
1607571131,47,0
1607659447,49,96
1607743685,50,0
1607832486,47,97
1607917209,46,0
1608006005,45,91
1608090725,47,0
1608175450,42,45
1608263767,45,89
1608348967,49,0
1608437288,42,91
1608522253,48,0
1608610566,40,88
1608695288,41,0
1608783606,35,76
1608868087,41,0
1608952806,41,41
1609041130,39,80
1609129450,48,48
1609214416,45,0
1609299128,41,44
1609387929,38,80
1609472886,41,0
1609480567,0,41
1609561206,47,0
1609645928,36,47
1609734494,39,75
1609819227,38,0
1609903929,30,38
1609992486,30,60
1610077449,35,0
1610166007,33,68
1610250729,34,0
1610339290,33,67
1610423767,35,0
1610512090,33,68
1610596568,36,0
1610681528,34,33
1610769848,27,64
1610854571,28,0
1610943126,33,62
1611027852,34,0
1611116405,30,63
1611201127,36,0
1611289692,29,66
1611374654,32,0
1611459610,34,31
1611548406,32,66
1611633125,32,0
1611721689,33,65
1611806165,34,0
1611893047,30,64
1611978007,34,0
1612067290,28,62
1612152016,30,0
1612240328,33,63
1612325292,34,0
1612410008,34,32
1612498326,28,64
1612583526,34,0
1612672327,32,66
1612756884,35,0
1612842261,34,33
1612931292,31,67
1613016019,37,0
1613104325,32,69
1613189288,34,0
1613274011,34,33
1613362328,31,67
1613447385,50,0
1613536333,45,94
1613621767,48,0
1613706725,44,46
1613795049,41,87
1613880017,43,0
1613964969,45,41
1614054067,40,87
1614138966,45,0
1614227526,40,85
1614312248,46,0
1614397206,41,44
1614485766,39,82
1614570252,43,0
1614658806,40,83
1614743766,47,0
1614832567,43,91
1614917053,49,0
1615001766,40,44
1615091324,38,82
1615177497,39,0
1615262648,38,35
1615347367,48,41
1615436649,37,86
1615521368,43,0
1615609449,47,90
1615696324,47,47
1615780818,42,0
1615869126,39,81
1615953848,41,0
1616042408,42,83
1616127126,42,0
1616211849,41,41
1616300405,41,83
1616385127,44,0
1616473690,38,83
1616558647,40,0
1616647450,40,79
1616732164,42,0
1617360117,47,89
1618026727,87,42
1618374725,38,83
1618547290,46,46
1618632247,43,0
1618720092,34,77
1618805048,40,0
1618894328,40,80
1618979532,45,0
1619064966,38,42
1619153767,36,77
1619238968,34,0
1619324408,32,32
1619409367,37,31
1619496247,35,75
1619585527,40,40
1619670726,38,0
1619755449,34,33
1619844249,37,76
1619929211,36,0
1620017527,31,67
1620102972,40,0
1620188409,34,31
1620273621,38,41
1620361927,33,73
1620446884,38,0
1620536170,35,73
1620621367,47,0
1620705846,28,42
1620795618,38,71
1620881047,39,0
1620966249,31,39
1621051688,38,28
1621140486,34,75
1621225206,41,0
1621314023,39,80
1621398726,41,0
1621484896,24,27
1621570091,36,34
1621656486,37,38
1621743162,36,75
1621831685,43,43
1621917371,45,0
1622004730,41,86
1622090166,43,0
1622175609,38,38
1622261048,39,42
1622351054,39,79
1622436967,44,0
1622522409,49,43
1622607366,35,50
1622693533,45,33
1622782342,47,94
1622865849,47,0
1622955849,45,92
1623039130,47,0
1623126485,44,91
1623213612,48,48
1623299771,48,0
1623386169,42,45
1623473051,45,90
1623559213,47,0
1623645365,47,44
1623731288,47,48
1623817447,45,44
1623902649,48,48
1623990009,48,98
1624076168,48,0
1624165691,46,94
1624250652,48,0
1624335850,45,47
1624424888,48,94
1624510330,49,0
1624595047,46,47
1624684332,44,92
1624769770,49,0
1624855928,49,48
1624941368,43,44
1625027048,48,49
1625115847,47,95
1625201529,48,0
1625287208,42,48
1625373127,47,41
1625458332,48,46
1625547367,48,98
1625632807,48,0
1625718734,47,46
1625807771,47,96
1625892730,50,0
1625977694,46,47
1626066247,46,95
1626151688,49,0
1626236889,46,46
1626322333,46,46
1626411691,49,98
1626497049,48,0
1626582007,46,46
1626671530,46,94
1626757454,48,0
1626843370,36,48
1626929053,48,37
1627015931,45,92
1627101369,48,0
1627186571,42,44
1627276328,45,91
1627362730,47,47
1627448409,47,0
1627535528,46,93
1627621220,48,0
1627707375,47,47
1627793287,49,48
1627878971,48,47
1627964651,48,48
1628053449,46,96
1628139366,47,0
1628224806,45,47
1628309766,47,44
1628399529,49,97
1628484726,49,0
1628570170,47,49
1628655607,46,44
1628744647,39,88
1628830810,37,0
1628916247,48,37
1629001450,48,47
1629090968,50,99
1629176419,49,0
1629261608,47,49
1629347292,48,45
1629436570,47,99
1629522006,47,0
1629613992,49,94
1629695765,50,0
1629781447,49,50
1629866650,48,49
1629952328,48,47
1630038007,48,47
1630126567,47,97
1630212728,48,0
1630298408,46,44
1630384089,48,50
1630470969,44,92
1630557132,48,0
1630645928,48,96
1630731127,48,0
1630816813,48,48
1630902733,50,48
1630991525,49,99
1631076965,50,0
1631162889,36,50
1631248807,49,36
1631334726,35,35
1631424005,48,97
1631508967,50,0
1631596565,49,99
1631682017,50,0
1631767931,49,50
1631853605,48,49
1631938807,39,47
1632027366,49,89
1632112326,49,0
1632199449,50,99
1632288009,49,49
1632373686,50,0
1632459613,39,48
1632548890,45,86
1632630246,41,0
1632718568,47,88
1632804006,45,0
1632892328,48,93
1632978250,48,0
1633063213,49,48
1633152248,43,92
1633237466,42,0
1633322888,49,41
1633408824,40,41
1633497147,47,96
1633580886,49,0
1633669924,48,97
1633756091,45,0
1633841769,43,44
1633926969,45,41
1634013124,42,43
1634102646,46,93
1634188566,48,0
1634274005,37,48
1634359447,42,29
1634448248,29,79
1634533925,46,0
1634619127,41,38
1634707928,49,98
1634793364,50,0
1634880007,50,100
1634965927,49,0
1635052325,37,48
1635137765,50,40
1635222970,36,34
1635309846,46,96
1635396248,45,45
1635482405,48,0
1635569047,40,88
1635655153,49,0
1635741370,48,49
1635827768,44,48
1635914404,48,92
1636000570,49,0
1636087446,48,97
1636174085,50,50
1636260485,42,0
1636347617,47,89
1636433764,48,0
1636519923,48,47
1636606323,50,49
1636692244,47,48
1636781529,49,98
1636868169,50,50
1636953366,50,0
1637038818,48,49
1637124249,48,48
1637210654,50,99
1637300410,48,48
1637386571,48,0
1637472490,50,48
1637558167,48,49
1637644570,50,99
1637691132,49,0
1637730018,48,0
1637815689,43,94
1637905210,48,95
1637991371,50,0
1638076806,45,49
1638162728,49,48
1638247688,42,46
1638336971,45,87
1638422646,47,0
1638508089,40,42
1638593048,49,45
1638680416,48,97
1638769206,49,49
1638854886,48,0
1638940571,46,47
1639026253,47,47
1639112166,47,45
1639201927,46,95
1639287125,48,0
1639372564,46,46
1639458248,48,47
1639543930,48,49
1639633448,44,92
1639719605,49,0
1639804327,48,49
1639889284,49,49
1639975685,45,93
1640065210,46,46
1640150646,48,0
1640235850,47,49
1640322485,47,93
1640408647,49,0
1640494816,47,47
1640583847,48,97
1640669526,50,0
1640755447,46,48
1640840885,47,48
1640926328,47,45
1641015851,50,99
1641101771,49,0
1641187449,49,49
1641275046,49,98
1641360968,49,0
1641446405,47,49
1641531849,47,45
1641618728,48,97
1641707527,50,50
1641793205,49,0
1641878166,47,49
1641963617,48,48
1642049768,49,46
1642139527,46,96
1642224727,50,0
1642310651,49,50
1642395621,49,48
1642484646,50,100
1642570328,50,0
1642656006,48,48
1642740966,50,50
1642830248,46,96
1642916410,48,0
1643001606,47,48
1643088726,47,96
1643174166,45,0
1643259367,48,42
1643345529,49,48
1643434805,48,98
1643520490,46,0
1643606169,46,43
1643692813,48,97
1643779448,49,49
1643864414,49,0
1643953930,48,97
1644039368,49,0
1644123847,47,49
1644209529,48,45
1644299049,47,97
1644384966,47,0
1644471368,45,92
1644557530,48,0
1644644171,46,95
1644729850,44,0
1644816248,45,42
1644901932,43,42
1644989113,46,93
1645075450,46,0
1645162113,47,93
1645249612,49,49
1645334895,49,0
1645421771,50,99
1645506029,45,0
1645595286,47,92
1645681690,46,46
1645766648,50,0
1645852809,44,47
1645938032,42,47
1646023688,46,39
1646112487,48,97
1646197450,48,0
1646283367,45,48
1646372648,45,90
1646458807,49,0
1646544972,45,47
1646630065,44,44
1646716566,40,87
1646801770,47,0
1646887927,47,44
1646977207,46,96
1647062651,50,0
1647148327,44,49
1647233529,44,43
1647320891,46,92
1647407526,44,44
1647493206,48,0
1647582485,44,92
1647669126,46,46
1647754812,46,0
1647840248,46,46
1647926405,43,43
1648011848,44,44
1648100645,44,90
1648186087,46,0
1648271763,43,45
1648357683,42,42
1648443849,44,43
1648532646,41,86
1648618032,48,0
1648703766,50,48
1648792330,44,94
1648877285,50,0
1648962966,45,45
1649051766,43,93
1649137447,49,0
