DateTime,AddedIPs,RemovedIPs
1604879284,30,35
1604963765,41,29
1605050405,42,0
1605138966,41,55
1605223448,39,0
1605312018,38,53
1605396727,39,0
1605481446,39,26
1605570247,43,56
1605654966,36,0
1605743532,30,63
1605828247,32,0
1605916822,38,54
1606001286,40,0
1606089615,41,64
1606174084,40,34
1606262420,39,30
1606347130,39,33
1606435448,39,33
1606519931,38,32
1606608248,41,37
1606692967,40,35
1606777685,35,0
1606866245,33,65
1606950964,41,0
1607039526,26,62
1607124004,33,0
1607212326,30,60
1607297051,38,0
1607382248,33,39
1607470566,30,35
1607555529,33,33
1607644091,27,74
1607728567,39,0
1607817127,39,78
1607901610,29,0
1607990430,36,73
1608075368,36,35
1608160086,36,0
1608248411,38,72
1608333369,32,0
1608421927,30,65
1608506650,34,0
1608595217,31,70
1608679929,28,0
1608768250,30,75
1608852732,27,0
1608937450,36,38
1609025767,33,41
1609110249,35,40
1609199051,24,41
1609283766,26,40
1609372568,29,79
1609457532,32,0
1609480568,0,31
1609545854,33,37
1609630566,3,0
1609715288,2,37
1609803608,3,27
1609888568,6,32
1609977129,4,67
1610062087,5,0
1610150423,3,72
1610235369,5,0
1610320088,3,35
1610408409,1,39
1610492889,1,41
1610581207,4,40
1610665928,3,38
1610754487,2,82
1610839208,2,0
1610927767,0,65
1611012489,2,0
1611101050,4,79
1611185769,1,0
1611270491,1,34
1611358807,6,31
1611444252,1,33
1611532888,2,68
1611617773,1,40
1611702488,2,32
1611790806,4,0
1611877686,3,73
1611962652,4,0
1612048093,2,45
1612136408,4,45
1612221126,5,3
1612309686,1,5
1612394648,5,0
1612482968,3,10
1612568168,2,0
1612653128,3,5
1612741685,3,2
1612825928,3,5
1612912088,0,3
1613000647,3,3
1613085125,1,4
1613173928,1,3
1613258647,1,2
1613346967,3,2
1613431448,49,0
1613516647,48,0
1613606168,50,6
1613691371,37,0
1613775847,32,1
1613864697,35,7
1613949367,33,0
1614038428,31,3
1614123612,32,0
1614208331,28,1
1614296887,34,6
1614381852,34,0
1614470428,34,7
1614554888,34,2
1614643448,30,4
1614728411,27,5
1614813130,28,1
1614901929,32,5
1614986413,29,0
1615075224,22,6
1615161626,32,3
1615247286,28,3
1615332006,44,0
1615421166,36,3
1615506005,34,3
1615592408,33,0
1615677127,30,2
1615765450,28,0
1615849926,28,1
1615938487,31,3
1616023209,30,46
1616111768,40,84
1616196486,27,0
1616285047,28,50
1616369768,37,27
1616454491,31,0
1616542809,24,53
1616628246,20,0
1616716817,20,46
1617360118,46,207
1618099688,78,307
1618186566,32,32
1618271052,17,29
1618528089,68,56
1618616887,22,51
1618704487,26,42
1618789688,20,28
1618874650,26,0
1618963688,26,70
1619049370,31,29
1619134327,26,0
1619219766,23,23
1619308817,21,23
1619393770,17,38
1619480887,24,0
1619566328,24,0
1619655130,35,0
1619740086,14,0
1619825046,30,0
1619913850,25,0
1619998327,28,30
1620083767,32,0
1620172818,28,0
1620258247,20,0
1620342726,16,0
1620431288,25,0
1620516725,22,0
1620601933,17,24
1620690731,20,17
1620776408,21,29
1620861847,20,27
1620950648,26,38
1621036326,26,26
1621121288,17,19
1621209682,28,25
1621294806,25,0
1621382166,25,43
1621467846,25,24
1621554011,21,0
1621640891,28,24
1621727532,27,48
1621812009,36,20
1621897931,21,0
1621985527,24,24
1622070488,25,18
1622160033,32,45
1622245688,24,0
1622331473,32,30
1622417531,19,43
1622503214,31,0
1622592018,38,50
1622679851,42,25
1622761695,34,0
1622848808,34,28
1622935687,34,36
1623022814,44,0
1623109686,44,50
1623195851,47,18
1623282250,37,0
1623369371,25,41
1623456493,25,23
1623542419,41,0
1623629293,37,53
1623715692,42,17
1623802088,39,28
1623887287,36,23
1623973932,31,0
1624060570,35,49
1624146249,32,20
1624231446,28,0
1624320249,40,53
1624405448,32,37
1624490890,25,19
1624579688,35,27
1624664648,44,27
1624750087,31,0
1624836250,28,33
1624921931,36,29
1625011448,27,65
1625096408,39,29
1625182330,39,0
1625267771,24,40
1625353690,34,33
1625442488,39,68
1625528170,30,32
1625613131,33,0
1625702891,31,79
1625788328,25,45
1625873529,31,0
1625958492,24,31
1626047053,18,32
1626132253,24,24
1626221532,33,74
1626306967,22,0
1626392408,27,45
1626477608,33,41
1626566649,37,78
1626651849,33,0
1626738008,35,37
1626823939,24,76
1626909848,42,0
1626995767,17,43
1627082169,31,32
1627170968,20,20
1627256888,23,71
1627343286,29,20
1627429208,27,21
1627516328,19,32
1627601773,25,0
1627687689,38,23
1627773369,36,28
1627859528,14,31
1627949048,26,47
1628034247,29,0
1628119927,25,32
1628205368,29,49
1628294166,37,0
1628380087,36,20
1628465050,38,24
1628550971,33,52
1628640011,38,22
1628725451,45,25
1628811372,39,0
