DateTime,Entries,UniqueIPs
1603775288,61,61
1603863607,50,50
1603948326,60,60
1604036644,50,50
1604121366,69,69
1604209684,50,50
1604294164,58,58
1604380565,50,50
1604468884,50,50
1604553366,73,73
1604641742,50,50
1604726164,60,60
1604814485,50,50
1604899204,59,59
1604987524,50,50
1605072008,65,65
1605160327,50,50
1605244805,54,54
1605333365,50,50
1605418085,56,56
1605504485,55,55
1605589450,66,66
1605678006,50,50
1605762724,56,56
1605851285,50,50
1605936005,59,59
1606024326,50,50
1606108804,52,52
1606196977,50,50
1606281603,58,58
1606370167,50,50
1606454647,64,64
1606542965,50,50
1606627448,56,56
1606716006,50,50
1606800724,55,55
1606885446,55,55
1606974248,50,50
1607058725,53,53
1607147056,50,50
1607231527,53,53
1607320084,50,50
1607405285,55,55
1607493606,50,50
1607578805,60,60
1607663287,59,59
1607751364,50,50
1607836325,55,55
1607924884,50,50
1608009846,52,52
1608098405,50,50
1608183130,56,56
1608271449,50,50
1608356647,54,54
1608441126,52,52
1608529926,50,50
1608614406,55,55
1608702965,50,50
1608787449,59,59
1608875767,50,50
1608960486,53,53
1609048807,50,50
1609133527,70,70
1609222333,50,50
1609307052,55,55
1609391766,51,51
1609480565,50,50
1609565048,52,52
1609653607,50,50
1609738326,53,53
1609826886,50,50
1609911609,51,51
1609996327,52,52
1610085126,50,50
1610169848,52,52
1610258406,50,50
1610343125,51,51
1610431447,50,50
1610515928,52,52
1610604248,50,50
1610777524,50,50
1610862248,51,51
1610947205,51,51
1611035527,50,50
1611552247,51,51
1611640888,50,50
1611725531,52,52
1611816007,50,50
1611900966,51,51
1611985926,50,50
1612159688,50,50
1612244166,51,51
1612332965,50,50
1612502166,51,51
1612591220,50,50
1612676165,51,51
1612764729,50,50
1612850164,51,51
1612935126,55,55
1613023685,50,50
1613196964,50,50
1613455258,50,50
1613540167,60,60
1613625716,66,66
1613714416,49,50
1613798884,65,66
1613887725,50,50
1613972652,65,65
1614057849,69,69
1614146646,50,50
1614231364,69,69
1614320164,50,50
1614404884,68,68
1614489607,73,73
1614577924,50,50
1614662647,64,64
1614751450,50,50
1614836404,58,58
1614924727,49,49
1615009243,71,71
1615095126,62,62
1615181289,70,70
1615270325,50,50
1615355290,68,69
1615440484,62,63
1615528884,50,50
1615613529,66,66
1615700166,50,50
1615788486,49,50
1615872968,67,68
1615961764,50,50
1616046248,73,73
1616134804,50,50
1616219525,66,66
1616308329,50,50
1616392817,73,73
1616477525,66,66
1616566325,50,50
1616651285,72,72
1616739847,50,50
1617360115,50,50
1618122724,50,50
1618205767,71,71
1618294087,50,50
1618551125,76,76
1618640166,50,50
1618723927,66,66
1618812725,50,50
1618898165,75,75
1618983368,70,70
1619072647,50,50
1619157614,75,75
1619242804,72,72
1619332326,50,50
1619417046,69,69
1619503925,50,50
1619589366,77,77
1619678406,50,50
1619763131,73,73
1619848329,63,63
1619936885,49,49
1620021366,64,64
1620106810,65,65
1620196326,50,50
1620281287,65,65
1620369604,50,50
1620454564,69,69
1620540014,78,78
1620625208,66,66
1620713525,50,50
1620799687,78,78
1620884886,64,64
1620974165,49,49
1621059365,69,69
1621144325,62,62
1621232886,50,50
1621317681,88,89
1621406647,50,50
1621492568,79,79
1621577773,71,71
1621664409,50,50
1621750807,71,71
1621835527,71,71
1621925047,50,50
1622008565,82,82
1622097847,50,50
1622183287,79,79
1622268726,80,80
1622355133,50,50
1622441053,70,70
1622530085,50,50
1622615291,77,77
1622699528,75,75
1622788811,50,50
1622872333,75,76
1622959287,50,50
1623046810,50,50
1623132731,73,73
1623219365,50,50
1623305533,77,77
1623392650,50,50
1623480013,50,50
1623565929,68,68
1623653050,50,50
1623738970,73,73
1623825125,79,79
1623910329,72,72
1623997932,50,50
1624083854,71,71
1624169526,66,66
1624258328,50,50
1624343524,74,74
1624428730,72,72
1624514168,81,81
1624602726,50,50
1624688168,70,70
1624773852,64,64
1624859764,70,70
1624949052,50,50
1625034727,72,72
1625119686,73,74
