DateTime,AddedIPs,RemovedIPs
1648681322,3,3
1648682522,5,30
1648683722,3,4
1648684922,1,52
1648685523,9,0
1648686123,2,9
1648686722,2,6
1648687323,1,15
1648688523,1,4
1648689722,0,1
1648690923,2,6
1648692122,2,0
1648692722,2,16
1648693923,1,1
1648694522,1,0
1648695722,2,10
1648696922,1,2
1648698722,0,2
1648700523,2,4
1648701722,3,13
1648702922,1,5
1648704122,2,0
1648704723,0,1
1648705322,5,6
1648706523,4,11
1648707123,1,8
1648707722,3,0
1648708923,11,11
1648710122,10,5
1648711322,2,1
1648711923,6,0
1648712523,0,8
1648713122,4,0
1648714922,5,14
1648716122,5,5
1648716722,9,1
1648717922,5,2
1648718522,2,4
1648719722,0,1
1648720322,5,16
1648722122,5,8
1648723322,4,5
1648724522,7,0
1648725722,15,0
1648726922,4,6
1648728122,3,3
1648729322,6,5
1648730522,4,4
1648731723,5,6
1648732922,1,7
1648733523,2,28
1648734123,2,0
1648735322,11,0
1648735923,0,3
1648737122,2,0
1648738322,3,0
1648739522,0,2
1648740122,5,2
1648741322,0,15
1648742523,4,0
1648743723,1,0
1648744322,0,3
1648744922,4,0
1648746122,3,1
1648747322,2,3
1648748523,5,3
1648749123,2,0
1648749723,3,0
1648750922,1,4
1648751522,1,0
1648752122,6,2
1648752722,2,0
1648753322,1,1
1648754522,3,1
1648755723,6,2
1648756322,2,0
1648757522,4,4
1648758122,6,0
1648758723,2,2
1648759322,5,0
1648759923,1,1
1648760523,1,0
1648761123,13,2
1648761722,1,0
1648762922,17,20
1648763522,8,0
1648764122,4,2
1648764722,2,0
1648765922,10,0
1648766522,2,8
1648767122,2,0
1648767723,3,1
1648768322,6,1
1648768923,1,4
1648769523,3,0
1648770123,2,1
1648771323,10,0
1648772522,2,1
1648773723,4,0
1648774323,0,1
1648774922,2,1
1648775523,1,1
1648776123,3,10
1648776722,1,0
1648777323,1,2
1648777922,1,6
1648779122,0,3
1648779722,3,0
1648780323,1,0
1648780922,1,1
1648781522,2,0
1648782122,3,4
1648783322,3,1
1648783923,1,1
1648784523,4,2
1648785122,1,0
1648785722,2,1
1648786922,0,1
1648788123,2,3
1648789322,2,12
1648789922,3,0
1648790523,0,8
1648792322,0,2
1648792922,0,5
1648794122,4,2
1648794722,4,0
1648795323,0,2
1648795923,3,0
1648796522,1,2
1648797123,1,0
1648797723,4,7
1648798923,2,4
1648800123,3,0
1648801322,4,3
1648801922,2,8
1648803122,1,0
1648803722,1,0
1648804322,2,0
1648804923,2,1
1648806122,4,1
1648807322,5,1
1648808523,5,3
1648809122,1,0
1648809722,7,0
1648811522,1,6
1648812122,4,0
1648814522,4,3
1648815122,2,0
1648815722,3,0
1648816922,2,1
1648817522,7,0
1648818122,4,2
1648818723,4,1
1648819924,2,1
1648820523,3,0
1648821122,1,3
1648822322,1,4
1648822922,2,0
1648824122,3,1
1648825922,1,10
1648826522,0,10
1648828322,1,3
1648829522,1,10
1648830122,8,1
1648832522,4,2
1648833122,0,1
1648833722,2,0
1648834322,1,4
1648836122,2,3
1648837322,0,2
1648837922,0,8
1648840322,0,2
1648841522,1,1
1648842123,1,1
1648842723,3,0
1648843923,0,1
1648844522,8,3
1648845723,1,2
1648846923,3,2
1648847523,0,4
1648848122,0,3
1648848722,0,2
1648849922,4,0
1648851723,3,0
1648853522,2,1
1648855322,0,1
1648856522,2,2
1648857722,1,5
1648858323,0,17
1648858922,3,0
1648860123,1,0
1648861323,3,2
1648861923,2,3
1648863123,1,1
1648863723,1,0
1648864922,1,0
1648866122,2,0
1648866723,2,0
1648867323,0,5
1648868522,0,4
1648870922,3,1
1648871523,2,2
1648873323,1,3
1648874522,4,4
1648875122,1,8
1648875723,0,1
1648876922,22,1
1648877523,2,0
1648878122,1,0
1648878722,0,1
1648879322,0,4
1648880523,1,3
1648882323,0,1
1648882923,0,3
1648884123,2,0
1648884722,2,0
1648885323,1,0
1648885923,2,2
1648887123,6,13
1648888922,2,1
1648889522,0,1
1648890122,4,2
1648891323,1,0
1648891923,4,0
1648892522,3,5
1648893123,2,0
1648893722,4,0
1648894923,2,0
1648896122,4,3
1648897323,5,4
1648897923,1,0
1648898523,3,0
1648899122,0,2
1648899722,0,5
1648900922,3,1
1648903322,6,6
1648903923,2,0
1648905122,1,4
1648906922,2,2
1648907523,6,2
1648908123,5,1
1648908722,3,0
1648909323,2,0
1648910522,2,1
1648911122,4,11
1648912323,6,0
1648912922,5,2
1648913523,3,1
1648914722,3,3
1648915922,3,0
1648916523,3,0
1648917123,5,0
1648918323,6,1
1648918922,2,0
1648920122,5,1
1648921922,8,1
1648923122,49,2
1648923723,3,7
1648924923,2,3
1648925523,2,0
1648926722,3,3
1648927322,2,1
1648928523,2,0
1648929122,5,1
1648930323,4,1
1648932123,0,5
1648932722,3,0
1648933923,1,3
1648934523,1,2
1648935723,3,1
1648936322,0,2
1648936922,0,2
1648938122,4,0
1648939323,0,1
1648939922,1,1
1648940522,0,3
1648941722,1,0
1648942923,5,2
1648944123,0,2
1648944723,0,1
1648945322,1,6
1648945922,0,1
1648947122,2,0
1648947722,1,1
1648949523,1,1
1648950123,1,1
1648950722,0,7
1648952522,1,0
1648953123,0,3
1648954323,9,6
1648954922,1,0
1648955522,0,3
1648956723,2,0
1648957322,4,4
1648960323,29,2
1648960922,1,0
1648961522,1,0
1648963323,1,10
1648963922,1,2
1648964522,2,1
1648965122,3,0
1648965722,5,0
1648966923,1,2
1648967523,2,2
1648968722,2,0
1648969322,1,0
1648970522,3,4
1648971723,13,2
1648972922,21,1
1648973522,4,0
1648974123,10,3
1648974723,1,0
1648975322,4,0
1648975922,3,0
1648977122,8,1
1648977722,2,1
1648978923,8,4
1648980122,3,6
1648981322,1,0
1648982523,2,3
1648983122,1,0
1648984322,0,2
1648985523,2,5
1648986122,1,2
1648986722,1,0
1648987323,1,3
1648987923,1,0
1648988523,1,0
1648989123,0,3
1648989722,1,9
1648990322,3,2
1648990923,1,1
1648991522,1,0
1648992122,1,0
1648993322,0,3
1648993922,2,0
1648994523,1,0
1648995122,2,1
1648996323,2,6
1648996922,2,1
1648997522,3,0
1648998122,1,2
1648998723,2,0
1648999322,48,0
1649000523,2,0
1649001122,0,4
1649002322,1,2
1649002922,4,0
1649003522,4,2
1649004122,1,1
1649005323,1,1
1649006522,1,0
1649007723,0,2
1649008922,7,0
1649009523,5,5
1649011322,6,5
1649013122,2,2
1649014922,1,13
1649016122,2,0
1649017322,11,0
1649017923,14,6
1649018523,0,1
1649019723,1,6
1649020923,0,1
1649022123,5,0
1649023323,1,0
1649023923,3,0
1649024523,0,1
1649025723,1,0
1649026922,1,3
1649028123,11,0
1649029323,1,0
1649030522,3,0
