DateTime,AddedIPs,RemovedIPs
1604833220,1337,974
1604916017,1354,1274
1605002418,1653,1391
1605088819,1662,1313
1605175220,2509,1515
1605261619,1615,1606
1605348017,1409,1117
1605430819,1128,1238
1605513619,1272,1227
1605596421,1655,1503
1605682820,2456,1538
1605769221,1934,1423
1605852020,1745,1314
1605934818,1497,1040
1606021219,1129,998
1606107617,1027,1253
1606194018,1318,1377
1606280419,1775,1200
1606363217,1478,1247
1606449620,2655,1290
1606536019,1825,1012
1606622419,1452,972
1606705217,1135,1234
1606791620,1670,1226
1606878020,1587,1359
1606960819,1479,3319
1607047217,1551,2062
1607133616,1378,1946
1607220018,1360,2733
1607302819,1295,1841
1607389221,1763,1736
1607472021,1667,1448
1607554820,1611,1146
1607637621,1603,1152
1607724020,1681,1014
1607806819,1319,847
1607889619,1009,1262
1607972421,1355,1292
1608058821,1807,1317
1608145219,1717,1481
1608228019,1786,1250
1608314424,1707,1209
1608397219,1716,965
1608480018,1427,1259
1608566418,1600,1428
1608652818,1803,1150
1608735619,1462,1080
1608822017,1679,1103
1608908419,1303,1007
1608994818,1385,1037
1609081220,1278,1384
1609167617,1493,1123
1609250418,1564,1282
1609336819,1536,1337
1609423218,1578,1349
1609509619,1095,1172
1609596019,1325,942
1609682419,1178,1226
1609768818,1552,1319
1609855220,1964,1234
1609938022,1720,1107
1610020820,1495,1273
1610103620,1522,1412
1610190022,1732,1192
1610276422,1245,1398
1610359221,1232,1735
1610445619,1587,1652
1610528419,1407,1700
1610611222,1664,1497
1610694021,1721,1462
1610776820,1546,1429
1610859624,1285,1253
1610946019,1471,1664
1611028816,1684,1623
1611111619,1778,1743
1611194419,1778,1643
1611277220,1683,1451
1611360019,2506,1326
1611446420,1313,960
1611529220,1607,1430
1611615618,2332,1603
1611698418,1798,1528
1611784822,2037,1541
1611871218,1967,1509
1611957617,2235,1372
1612044019,1545,1431
1612126819,1435,1412
1612213217,1831,1354
1612299618,1691,1549
1612386019,1576,1450
1612472420,2075,1469
1612558818,1909,1208
1612645222,1642,1169
1612728021,1571,1503
1612814419,1782,1528
1612897222,1780,1667
1612983617,1722,2421
1613070019,1857,1466
1613156418,1769,1160
1613239218,1489,1054
1613325619,1231,1439
