DateTime,AddedIPs,RemovedIPs
1639441981,0,1
1639459981,0,1
1639470782,0,1
1639474383,0,1
1639481582,0,1
1639492637,1,0
1639496236,0,1
1639503183,1,0
1639510384,1,0
1639531983,2,0
1639535582,0,1
1639539182,0,1
1639542783,0,1
1639549983,0,1
1639584726,0,1
1639588355,0,1
1639623118,0,1
1639633319,1,0
1639683766,0,1
1639701729,0,2
1639711981,1,0
1639740782,1,0
1639755182,0,3
1639765981,0,2
1639773181,0,1
1639776784,0,1
1639791181,1,1
1639801981,0,1
1639831036,0,1
1639838534,0,1
1639845730,1,0
1639849347,0,1
1639852950,0,1
1639873982,0,1
1639902781,0,1
1639915960,0,1
1639936035,0,1
1639942943,0,1
1639950164,0,1
1639971181,0,1
1639981982,0,1
1640010783,0,1
1640035982,1,0
1640043182,0,1
1640071981,0,1
1640079183,0,1
1640082783,0,1
1640115182,0,1
1640136781,0,1
1640147584,0,2
1640162553,0,1
1640166145,0,1
1640187438,0,1
1640215982,1,0
1640226784,1,0
1640241181,0,1
1640244783,0,1
1640248384,0,1
1640263037,1,0
1640277745,1,1
1640284943,0,1
1640292439,1,2
1640309581,0,1
1640331737,0,1
1640338933,1,0
1640346132,0,1
1640356934,1,0
1640360531,1,1
1640364135,1,1
1640371338,0,2
1640413981,1,0
1640471581,1,0
1640496782,0,1
1640532781,0,2
1640536381,1,0
1640539983,0,1
1640551041,1,1
1640565440,0,1
1640572383,0,1
1640579581,0,1
1640590953,0,1
1640598157,0,1
1640630572,1,0
1640634152,0,1
1640644940,2,0
1640659339,0,1
1640670147,0,1
1640673737,0,1
1640680938,1,0
1640684538,2,1
1640713348,1,0
1640734951,0,1
1640745789,1,0
1640749646,2,0
1640756560,1,0
1640788382,0,1
1640791984,1,0
1640813581,1,1
1640820781,2,0
1640824382,1,0
1640856782,0,2
1640863981,0,1
1640892781,0,1
1640910781,0,1
1640950381,0,1
1640953982,1,0
1640971983,1,0
1640975581,1,0
1640993582,0,1
1640997181,0,3
1641029583,0,1
1641076381,0,1
1641090782,0,1
1641151983,1,1
1641155583,0,1
1641159184,0,1
1641162782,1,0
1641177182,0,1
1641180781,0,1
1641184381,0,1
1641199046,0,2
1641246162,0,1
1641253354,0,1
1641256982,0,1
1641277981,0,1
1641292384,0,1
1641295981,0,2
1641324784,0,1
1641342783,0,1
1641400382,0,1
1641403981,0,1
1641421981,0,1
1641454381,0,3
1641490381,0,1
1641511981,0,1
1641515583,1,0
1641526381,0,1
1641660447,0,7
1641667352,0,2
1641670950,1,1
1641674552,1,3
1641678151,1,0
1641681748,0,1
1641692251,1,0
1641706646,0,1
1641709982,0,1
1641742384,0,1
1641785582,1,0
1641825182,0,1
1641828781,0,1
1641843182,0,2
1641886381,0,1
1641951182,0,1
1641965583,1,0
1642008782,0,1
1642012381,1,1
1642044781,0,1
1642048381,0,1
1642055581,1,0
1642095182,0,1
1642099044,0,1
1642109581,1,1
1642120382,1,0
1642127583,0,1
1642156383,0,1
